county,cases,deaths,lat,lon
Fulton,1598 ,52 ,33.8109499,-84.7310481
Dougherty,1217 ,77 ,31.5429887,-84.3597205
Dekalb,980 ,14 ,33.7927093,-84.3270543
Cobb,782 ,35 ,33.9123906,-84.6972676
Gwinnett,739 ,22 ,33.9600231,-84.3181545
Clayton,391 ,12 ,34.2428643,-84.5984981
Hall,292 ,0 ,34.3058696,-84.1192568
Henry,280 ,4 ,33.4724802,-84.2785358
Lee,253 ,15 ,31.7689938,-84.2706385
Sumter,245 ,9 ,32.0771487,-84.2578416
Bartow,216 ,16 ,34.2440988,-84.985769
Carroll,214 ,5 ,33.5865758,-85.1703404
Cherokee,198 ,7 ,33.5005916,-84.4914783
Douglas,167 ,5 ,33.689703,-84.8846812
Muscogee,161 ,4 ,32.4740307,-84.9775752
Chatham,152 ,5 ,31.9710868,-81.351756
Mitchell,147 ,15 ,31.2498763,-84.2432471
Richmond,147 ,4 ,33.3859619,-82.2310033
Forsyth,138 ,5 ,34.1927884,-84.2323435
Houston,129 ,8 ,32.4870656,-83.9498473
Early,126 ,6 ,31.3765383,-84.9587256
Coweta,119 ,2 ,33.3513219,-84.8962861
Randolph,117 ,6 ,31.7751648,-84.8872959
Terrell,114 ,10 ,31.7941452,-84.5708394
Floyd,111 ,6 ,34.2748096,-85.265634
Fayette,105 ,5 ,33.4036378,-84.6445108
Rockdale,100 ,3 ,33.6558755,-84.1887723
Newton,91 ,3 ,33.5556431,-84.0049802
Paulding,91 ,2 ,33.9286041,-85.0268587
Worth,91 ,4 ,31.5836698,-84.1213062
Colquitt,88 ,5 ,31.148152,-83.8272431
Clarke,85 ,11 ,33.9441951,-83.5292082
Thomas,78 ,3 ,30.8343417,-84.0114562
Spalding,75 ,4 ,33.2655664,-84.4391162
Bibb,72 ,1 ,32.8066395,-83.8313174
Crisp,71 ,1 ,31.9169717,-83.9254823
Columbia,70 ,0 ,33.5275606,-82.3756279
Lowndes,65 ,2 ,30.8276641,-83.5322856
Tift,62 ,2 ,31.4620157,-83.6427911
Troup,61 ,3 ,33.0366656,-85.098747
Upson,61 ,2 ,32.8670541,-84.3459853
Coffee,60 ,3 ,31.5118862,-82.8942771
Ware,56 ,4 ,30.9258764,-82.652756
Barrow,55 ,3 ,34.0109181,-83.8433347
Baldwin,53 ,2 ,33.0581947,-83.3767553
Dooly,50 ,2 ,32.1523132,-83.8192581
Calhoun,48 ,2 ,31.5374798,-84.6143248
Pierce,45 ,2 ,31.297628,-82.3323931
Walton,44 ,2 ,33.7781427,-83.7941236
Gordon,39 ,3 ,34.509082,-85.0184651
Oconee,39 ,0 ,33.8320577,-83.6015497
Glynn,38 ,0 ,31.2215288,-81.7627215
Turner,37 ,0 ,31.7097169,-83.7672869
Decatur,36 ,0 ,30.9053732,-84.6063261
Laurens,35 ,1 ,32.4502041,-82.9615426
Bryan,31 ,2 ,31.9384847,-81.3366541
Butts,30 ,0 ,33.2876561,-84.008061
Dawson,29 ,2 ,34.4758874,-84.2918991
Greene,29 ,1 ,33.564243,-83.213461
Burke,28 ,2 ,33.0949232,-82.0493385
Jackson,27 ,1 ,34.1222725,-83.6498217
Whitfield,26 ,3 ,34.8017812,-85.1298821
Macon,25 ,0 ,32.3019958,-84.0433236
Mcduffie,25 ,2 ,33.4695855,-82.531416
Peach,24 ,2 ,32.5658912,-83.9996748
Polk,24 ,0 ,33.9998606,-85.3123828
Wilcox,24 ,0 ,31.9484553,-83.4767476
Meriwether,23 ,0 ,33.0359618,-84.7321711
Washington,23 ,0 ,32.9842382,-82.8420655
Camden,22 ,0 ,30.9572853,-81.7273897
Effingham,22 ,1 ,32.3453413,-81.6139433
Harris,22 ,1 ,32.7873585,-84.9045071
Brooks,19 ,1 ,30.8201276,-83.6967418
Bulloch,19 ,1 ,32.436937,-81.839803
Johnson,19 ,1 ,32.692117,-82.6858691
Stephens,19 ,0 ,34.574081,-83.4216966
Lamar,18 ,0 ,33.0504451,-84.1869511
Liberty,18 ,0 ,31.8747992,-81.64466
Pike,18 ,0 ,32.0655552,-82.2023614
Baker,16 ,2 ,31.3455552,-84.4812548
Clay,16 ,1 ,31.5935371,-84.9543791
Haralson,16 ,0 ,33.8053808,-85.1845181
Grady,15 ,0 ,30.8768572,-84.2385266
Habersham,15 ,1 ,34.6086982,-83.5456091
Murray,15 ,0 ,34.782174,-84.8306345
Seminole,15 ,1 ,31.0403778,-84.8968852
Bacon,14 ,0 ,31.5480169,-82.43403
Dodge,14 ,0 ,32.1889054,-83.2835786
Morgan,14 ,0 ,33.5806701,-83.5120246
Catoosa,13 ,0 ,34.9113369,-85.1771685
Oglethorpe,13 ,1 ,33.8707055,-83.1174137
Irwin,12 ,0 ,31.6042318,-83.2849291
Jones,12 ,0 ,32.9986012,-83.5811601
Miller,12 ,0 ,31.1636817,-84.869848
Monroe,12 ,1 ,33.0254067,-84.0551818
Schley,12 ,1 ,32.2381915,-84.3265297
Toombs,12 ,1 ,32.1715359,-82.3339669
Appling,11 ,0 ,31.7632088,-82.420582
Brantley,11 ,1 ,31.2089482,-81.9996745
Pickens,11 ,2 ,34.4435055,-84.4995419
White,11 ,0 ,34.6411092,-83.7623648
