county,cases,deaths,lat,lon
Candler,1 ,0 ,32.3937981,-82.0966585
Charlton,1 ,0 ,30.7152281,-82.4366806
Cook,1 ,0 ,31.1675224,-83.4587171
Dade,1 ,0 ,34.8756058,-85.5463536
Emanuel,1 ,0 ,32.5730671,-82.404137
Gilmer,1 ,0 ,34.6879469,-84.5081626
Jenkins,1 ,0 ,32.8086673,-81.9616381
Johnson,1 ,0 ,32.692117,-82.6858691
Lanier,1 ,0 ,31.0410238,-83.0922926
Long,1 ,0 ,31.7764678,-82.0169041
Mcintosh,1 ,0 ,31.5333111,-81.4445574
Oglethorpe,1 ,1 ,33.8707055,-83.1174137
Stewart,1 ,0 ,32.0439972,-84.8137031
Talbot,1 ,0 ,32.6773334,-84.5580366
Union,1 ,0 ,34.8131442,-83.9486638
Webster,1 ,0 ,32.1463907,-82.7966186
Wheeler,1 ,0 ,32.1463907,-82.7966186
Wilcox,1 ,0 ,31.9484553,-83.4767476
Wilkinson,1 ,0 ,32.8107172,-83.1912456
Unknown,778 ,1 ,,
*Based on patient county of residence when known,,,,
