county,cases,deaths,lat,lon,pop
Fulton,2543 ,91 ,33.8109499,-84.7310481,1041423
Dekalb,1788 ,36 ,33.7927093,-84.3270543,707089
Dougherty,1470 ,108 ,31.5429887,-84.3597205,94501
Gwinnett,1460 ,46 ,33.9600231,-84.3181545,842046
Cobb,1395 ,74 ,33.9123906,-84.6972676,707442
Hall,1032 ,9 ,34.3058696,-84.1192568,185416
Clayton,642 ,21 ,34.2428643,-84.5984981,26588
Henry,436 ,10 ,33.4724802,-84.2785358,209053
Cherokee,368 ,10 ,33.5005916,-84.4914783,221315
Richmond,355 ,14 ,33.3859619,-82.2310033,202587
Sumter,350 ,21 ,32.0771487,-84.2578416,31554
Carroll,325 ,11 ,33.5865758,-85.1703404,111580
Lee,299 ,18 ,31.7689938,-84.2706385,28746
Mitchell,287 ,25 ,31.2498763,-84.2432471,23144
Bartow,283 ,28 ,34.2440988,-84.985769,100661
Douglas,276 ,8 ,33.689703,-84.8846812,133971
Muscogee,270 ,4 ,32.4740307,-84.9775752,198413
Forsyth,249 ,8 ,34.1927884,-84.2323435,187929
Bibb,247 ,6 ,32.8066395,-83.8313174,156462
Chatham,206 ,6 ,31.9710868,-81.351756,276434
Houston,206 ,13 ,32.4870656,-83.9498473,146136
Upson,196 ,14 ,32.8670541,-84.3459853,26630
Early,194 ,15 ,31.3765383,-84.9587256,10594
Spalding,189 ,8 ,33.2655664,-84.4391162,63865
Coweta,187 ,4 ,33.3513219,-84.8962861,130929
Baldwin,180 ,6 ,33.0581947,-83.3767553,46367
Habersham,170 ,3 ,34.6086982,-83.5456091,43520
Newton,166 ,6 ,33.5556431,-84.0049802,101505
Colquitt,165 ,6 ,31.148152,-83.8272431,46137
Terrell,165 ,17 ,31.7941452,-84.5708394,9045
Rockdale,162 ,6 ,33.6558755,-84.1887723,85820
Fayette,161 ,8 ,33.4036378,-84.6445108,107524
Paulding,159 ,7 ,33.9286041,-85.0268587,144800
Thomas,157 ,16 ,30.8343417,-84.0114562,44724
Randolph,153 ,19 ,31.7751648,-84.8872959,7327
Crisp,151 ,2 ,31.9169717,-83.9254823,23606
Worth,140 ,9 ,31.5836698,-84.1213062,21741
Columbia,138 ,2 ,33.5275606,-82.3756279,131627
Floyd,133 ,10 ,34.2748096,-85.265634,96177
Lowndes,131 ,4 ,30.8276641,-83.5322856,114552
Clarke,127 ,13 ,33.9441951,-83.5292082,120266
Butts,125 ,2 ,33.2876561,-84.008061,23524
Troup,122 ,4 ,33.0366656,-85.098747,68468
Barrow,111 ,3 ,34.0109181,-83.8433347,70169
Dooly,108 ,7 ,32.1523132,-83.8192581,14318
Ware,105 ,8 ,30.9258764,-82.652756,35821
Coffee,103 ,4 ,31.5118862,-82.8942771,43170
Tift,100 ,3 ,31.4620157,-83.6427911,41064
Walton,97 ,3 ,33.7781427,-83.7941236,84575
Calhoun,86 ,3 ,31.5374798,-84.6143248,6504
Gordon,81 ,10 ,34.509082,-85.0184651,55766
Jackson,75 ,1 ,34.1222725,-83.6498217,60571
Burke,71 ,3 ,33.0949232,-82.0493385,23125
