county,cases,deaths,lat,lon,pop
Fulton,3063 ,129 ,33.8082405,-84.4345438,1041423
Dekalb,2250 ,57 ,33.7927093,-84.3270543,707089
Gwinnett,2056 ,65 ,33.9600231,-84.3181545,842046
Cobb,1840 ,100 ,33.9123906,-84.6972676,707442
Hall,1775 ,23 ,34.3058696,-84.1192568,185416
Dougherty,1543 ,125 ,31.5429887,-84.3597205,94501
Clayton,804 ,32 ,33.5212021,-84.4283069,26588
Henry,520 ,13 ,33.4724802,-84.2785358,209053
Cherokee,509 ,13 ,33.5005916,-84.4914783,221315
Richmond,422 ,15 ,33.3859619,-82.2310033,202587
Sumter,391 ,29 ,32.0771487,-84.2578416,31554
Carroll,382 ,15 ,33.5865758,-85.1703404,111580
Habersham,353 ,9 ,34.6086982,-83.5456091,43520
Bibb,347 ,12 ,32.8066395,-83.8313174,156462
Douglas,343 ,11 ,33.689703,-84.8846812,133971
Bartow,341 ,31 ,34.2440988,-84.985769,100661
Forsyth,339 ,10 ,34.1927884,-84.2323435,187929
Muscogee,337 ,7 ,32.4740307,-84.9775752,198413
Lee,328 ,20 ,31.7689938,-84.2706385,28746
Mitchell,325 ,33 ,31.2498763,-84.2432471,23144
Houston,260 ,14 ,32.4870656,-83.9498473,146136
Chatham,246 ,10 ,31.9710868,-81.351756,276434
Coweta,242 ,4 ,33.3513219,-84.8962861,130929
Upson,240 ,21 ,32.8670541,-84.3459853,26630
Baldwin,239 ,9 ,33.0581947,-83.3767553,46367
Early,221 ,24 ,31.3765383,-84.9587256,10594
Spalding,219 ,11 ,33.2655664,-84.4391162,63865
Newton,215 ,8 ,33.5556431,-84.0049802,101505
Paulding,207 ,9 ,33.9286041,-85.0268587,144800
Rockdale,199 ,6 ,33.6558755,-84.1887723,85820
Thomas,196 ,20 ,30.8343417,-84.0114562,44724
Colquitt,192 ,9 ,31.148152,-83.8272431,46137
Terrell,189 ,21 ,31.7941452,-84.5708394,9045
Fayette,187 ,10 ,33.4036378,-84.6445108,107524
Crisp,171 ,4 ,31.9169717,-83.9254823,23606
Columbia,168 ,4 ,33.5275606,-82.3756279,131627
Barrow,167 ,4 ,34.0109181,-83.8433347,70169
Worth,167 ,11 ,31.5836698,-84.1213062,21741
Randolph,164 ,19 ,31.7751648,-84.8872959,7327
Lowndes,162 ,4 ,30.8276641,-83.5322856,114552
Clarke,161 ,13 ,33.9441951,-83.5292082,120266
Troup,159 ,5 ,33.0366656,-85.098747,68468
Butts,152 ,17 ,33.2876561,-84.008061,23524
Floyd,150 ,11 ,34.2748096,-85.265634,96177
Coffee,147 ,7 ,31.5118862,-82.8942771,43170
Walton,136 ,4 ,33.7781427,-83.7941236,84575
Dooly,133 ,12 ,32.1523132,-83.8192581,14318
Ware,133 ,12 ,30.9258764,-82.652756,35821
Tift,132 ,5 ,31.4620157,-83.6427911,41064
Whitfield,126 ,6 ,34.8017812,-85.1298821,103359
Gordon,116 ,13 ,34.509082,-85.0184651,55766
Jackson,111 ,2 ,34.1222725,-83.6498217,60571
Calhoun,107 ,4 ,31.5374798,-84.6143248,6504
Decatur,94 ,1 ,30.9053732,-84.6063261,27509
Wilcox,90 ,10 ,31.9484553,-83.4767476,9068
Stephens,88 ,1 ,34.574081,-83.4216966,25891
Burke,87 ,3 ,33.0949232,-82.0493385,23125
Macon,81 ,3 ,32.3019958,-84.0433236,14623
White,79 ,0 ,34.6411092,-83.7623648,27556
Gilmer,77 ,0 ,34.6879469,-84.5081626,28190
Appling,74 ,7 ,31.7632088,-82.420582,18368
Turner,69 ,10 ,31.7097169,-83.7672869,8410
Dawson,67 ,1 ,34.4758874,-84.2918991,22422
Laurens,67 ,1 ,32.4502041,-82.9615426,48041
Lumpkin,67 ,2 ,34.527836,-84.017919,30611
Oconee,65 ,0 ,33.8320577,-83.6015497,33619
Hancock,64 ,2 ,33.2769957,-82.9894837,8996
Grady,63 ,3 ,30.8768572,-84.2385266,25440
Johnson,63 ,2 ,32.692117,-82.6858691,9897
Brooks,61 ,7 ,30.8201276,-83.6967418,15403
Walker,61 ,0 ,34.7120415,-85.3161595,68094
Polk,60 ,0 ,33.9998606,-85.3123828,41188
Harris,59 ,2 ,32.7873585,-84.9045071,32550
Peach,59 ,2 ,32.5658912,-83.9996748,27622
Glynn,58 ,1 ,31.2215288,-81.7627215,81022
Greene,57 ,5 ,33.564243,-83.213461,16092
Meriwether,56 ,1 ,33.0359618,-84.7321711,21273
Bryan,55 ,4 ,31.9384847,-81.3366541,32214
Pierce,53 ,3 ,31.297628,-82.3323931,18844
Catoosa,51 ,0 ,34.9113369,-85.1771685,65046
Oglethorpe,50 ,3 ,33.8707055,-83.1174137,14618
Mcduffie,47 ,4 ,33.4695855,-82.531416,21663
Putnam,46 ,5 ,33.3256731,-83.4237009,21198
Bulloch,43 ,2 ,32.436937,-81.839803,72694
Washington,43 ,1 ,32.9842382,-82.8420655,20879
Pike,40 ,2 ,32.0655552,-82.2023614,17810
Lamar,39 ,1 ,33.0504451,-84.1869511,18057
Marion,39 ,1 ,32.3200167,-84.535096,8711
Liberty,37 ,0 ,31.8747992,-81.64466,65471
Effingham,36 ,1 ,32.3453413,-81.6139433,53293
Wilkinson,36 ,2 ,32.8107172,-83.1912456,9577
Murray,34 ,1 ,34.782174,-84.8306345,39392
Toombs,34 ,3 ,32.1715359,-82.3339669,27315
Camden,33 ,1 ,30.9572853,-81.7273897,51402
Pulaski,33 ,1 ,32.2484974,-83.4608698,11720
Fannin,32 ,1 ,34.8670726,-84.3366946,23492
Miller,32 ,0 ,31.1636817,-84.869848,5969
Elbert,31 ,0 ,34.103443,-82.9103666,19684
Seminole,31 ,2 ,31.0403778,-84.8968852,8947
Union,31 ,1 ,34.8131442,-83.9486638,21451
Dodge,30 ,1 ,32.1889054,-83.2835786,21329
Banks,29 ,0 ,34.3359133,-83.5336091,18316
Ben Hill,29 ,0 ,31.7220409,-83.3197009,17538
Haralson,29 ,1 ,33.8053808,-85.1845181,28400
Jones,29 ,0 ,32.9986012,-83.5811601,28577
Morgan,29 ,0 ,33.5806701,-83.5120246,17881
Pickens,29 ,2 ,34.4435055,-84.4995419,29268
Bacon,28 ,1 ,31.5480169,-82.43403,11198
Cook,28 ,1 ,31.1675224,-83.4587171,16923
Telfair,28 ,0 ,31.9351788,-82.9480671,16349
Baker,26 ,2 ,31.3455552,-84.4812548,3366
Madison,26 ,1 ,34.1279503,-83.2381266,27922
Clay,25 ,3 ,31.5935371,-84.9543791,3116
Jasper,25 ,0 ,33.3069437,-83.7069025,13630
Monroe,25 ,3 ,33.0254067,-84.0551818,26637
Stewart,25 ,0 ,32.0439972,-84.8137031,6042
Talbot,25 ,1 ,32.6773334,-84.5580366,6517
Wilkes,25 ,0 ,33.7637416,-82.8687134,10076
Brantley,22 ,2 ,31.2089482,-81.9996745,18587
Emanuel,22 ,0 ,32.5730671,-82.404137,22898
Franklin,22 ,1 ,34.3757117,-83.2478296,21894
Jeff Davis,22 ,1 ,31.8121297,-82.6602823,15156
Bleckley,20 ,0 ,32.4450373,-83.3216414,12913
Towns,19 ,1 ,34.9181473,-83.7336489,10495
Crawford,18 ,0 ,32.7197317,-84.0190168,12600
Irwin,18 ,1 ,31.6042318,-83.2849291,9600
Taylor,18 ,2 ,32.5592902,-84.3821397,8420
Berrien,17 ,0 ,31.2075802,-83.2828336,19041
Jenkins,17 ,1 ,32.8086673,-81.9616381,9213
Dade,16 ,1 ,34.8756058,-85.5463536,16490
Schley,16 ,1 ,32.2381915,-84.3265297,4990
