county,cases,deaths,lat,lon,pop
Gwinnett,8625 ,173 ,33.9600231,-84.3181545,842046
Fulton,7536 ,314 ,33.8082405,-84.4345438,1041423
Dekalb,6180 ,173 ,33.7927093,-84.3270543,707089
Cobb,5310 ,245 ,33.9123906,-84.6972676,707442
Hall,3311 ,60 ,34.3058696,-84.1192568,185416
Clayton,2083 ,79 ,33.5212021,-84.4283069,259424
Dougherty,1923 ,155 ,31.5429887,-84.3597205,94501
Muscogee,1835 ,50 ,32.4740307,-84.9775752,198413
Troup,1516 ,35 ,33.0366656,-85.098747,68468
Chatham,1507 ,37 ,31.9710868,-81.351756,276434
Cherokee,1368 ,44 ,33.5005916,-84.4914783,221315
Henry,1285 ,33 ,33.4724802,-84.2785358,209053
Lowndes,1263 ,12 ,30.8276641,-83.5322856,114552
Whitfield,1181 ,10 ,34.8017812,-85.1298821,103359
Richmond,1042 ,54 ,33.3859619,-82.2310033,202587
Douglas,1022 ,36 ,33.689703,-84.8846812,133971
Colquitt,1016 ,18 ,31.148152,-83.8272431,46137
Glynn,975 ,6 ,31.2215288,-81.7627215,81022
Bibb,971 ,41 ,32.8066395,-83.8313174,156462
Forsyth,871 ,15 ,34.1927884,-84.2323435,187929
Tift,769 ,26 ,31.4620157,-83.6427911,41064
Carroll,741 ,40 ,33.5865758,-85.1703404,111580
Bartow,728 ,42 ,34.2440988,-84.985769,100661
Coweta,712 ,16 ,33.3513219,-84.8962861,130929
Habersham,705 ,36 ,34.6086982,-83.5456091,43520
Houston,688 ,24 ,32.4870656,-83.9498473,146136
Newton,644 ,11 ,33.5556431,-84.0049802,101505
Paulding,638 ,16 ,33.9286041,-85.0268587,144800
Clarke,610 ,15 ,33.9441951,-83.5292082,120266
Coffee,580 ,17 ,31.5118862,-82.8942771,43170
Sumter,562 ,50 ,32.0771487,-84.2578416,31554
Floyd,552 ,15 ,34.2748096,-85.265634,96177
Baldwin,543 ,34 ,33.0581947,-83.3767553,46367
Columbia,532 ,9 ,33.5275606,-82.3756279,131627
Barrow,520 ,25 ,34.0109181,-83.8433347,70169
Rockdale,495 ,11 ,33.6558755,-84.1887723,85820
