county,cases,deaths,lat,lon,pop
Gwinnett,11114 ,183 ,33.9600231,-84.3181545,842046
Fulton,10381 ,323 ,33.8082405,-84.4345438,1041423
Dekalb,8146 ,180 ,33.7927093,-84.3270543,707089
Cobb,6952 ,252 ,33.9123906,-84.6972676,707442
Hall,3790 ,63 ,34.3058696,-84.1192568,185416
Clayton,2754 ,82 ,33.5212021,-84.4283069,259424
Muscogee,2707 ,56 ,32.4740307,-84.9775752,198413
Chatham,2452 ,38 ,31.9710868,-81.351756,276434
Dougherty,2155 ,156 ,31.5429887,-84.3597205,94501
Lowndes,1828 ,18 ,30.8276641,-83.5322856,114552
Whitfield,1772 ,15 ,34.8017812,-85.1298821,103359
Henry,1751 ,34 ,33.4724802,-84.2785358,209053
Cherokee,1745 ,48 ,33.5005916,-84.4914783,221315
Troup,1742 ,38 ,33.0366656,-85.098747,68468
Bibb,1637 ,43 ,32.8066395,-83.8313174,156462
Richmond,1588 ,60 ,33.3859619,-82.2310033,202587
Glynn,1541 ,9 ,31.2215288,-81.7627215,81022
Douglas,1390 ,39 ,33.689703,-84.8846812,133971
Colquitt,1273 ,20 ,31.148152,-83.8272431,46137
Forsyth,1129 ,15 ,34.1927884,-84.2323435,187929
Carroll,1024 ,40 ,33.5865758,-85.1703404,111580
Tift,981 ,28 ,31.4620157,-83.6427911,41064
Houston,963 ,30 ,32.4870656,-83.9498473,146136
Bartow,950 ,44 ,34.2440988,-84.985769,100661
Clarke,924 ,15 ,33.9441951,-83.5292082,120266
Coffee,923 ,17 ,31.5118862,-82.8942771,43170
Coweta,881 ,16 ,33.3513219,-84.8962861,130929
Newton,876 ,15 ,33.5556431,-84.0049802,101505
Paulding,846 ,16 ,33.9286041,-85.0268587,144800
Columbia,842 ,12 ,33.5275606,-82.3756279,131627
Habersham,760 ,41 ,34.6086982,-83.5456091,43520
Floyd,715 ,15 ,34.2748096,-85.265634,96177
Rockdale,682 ,11 ,33.6558755,-84.1887723,85820
Baldwin,643 ,35 ,33.0581947,-83.3767553,46367
Barrow,625 ,26 ,34.0109181,-83.8433347,70169
Ware,623 ,16 ,30.9258764,-82.652756,35821
Bulloch,607 ,6 ,32.436937,-81.839803,72694
Sumter,607 ,50 ,32.0771487,-84.2578416,31554
Thomas,590 ,32 ,30.8343417,-84.0114562,44724
Spalding,554 ,33 ,33.2655664,-84.4391162,63865
Walton,536 ,29 ,33.7781427,-83.7941236,84575
Gordon,523 ,18 ,34.509082,-85.0184651,55766
Jackson,510 ,12 ,34.1222725,-83.6498217,60571
Fayette,509 ,19 ,33.4036378,-84.6445108,107524
Mitchell,488 ,40 ,31.2498763,-84.2432471,23144
Chattahoochee,463 ,0 ,32.3778761,-84.9477857,13037
Lee,422 ,22 ,31.7689938,-84.2706385,28746
Harris,421 ,12 ,32.7873585,-84.9045071,32550
Upson,387 ,45 ,32.8670541,-84.3459853,26630
Walker,373 ,12 ,34.7120415,-85.3161595,68094
Laurens,364 ,1 ,32.4502041,-82.9615426,48041
Catoosa,358 ,8 ,34.9113369,-85.1771685,65046
Worth,354 ,22 ,31.5836698,-84.1213062,21741
Appling,340 ,14 ,31.7632088,-82.420582,18368
Butts,339 ,35 ,33.2876561,-84.008061,23524
Toombs,322 ,5 ,32.1715359,-82.3339669,27315
Polk,319 ,1 ,33.9998606,-85.3123828,41188
Stephens,314 ,6 ,34.574081,-83.4216966,25891
Crisp,311 ,13 ,31.9169717,-83.9254823,23606
Decatur,309 ,8 ,30.9053732,-84.6063261,27509
Early,305 ,31 ,31.3765383,-84.9587256,10594
Bacon,301 ,5 ,31.5480169,-82.43403,11198
Murray,292 ,2 ,34.782174,-84.8306345,39392
