county,cases,deaths,lat,lon,pop
Gwinnett,9646 ,173 ,33.9600231,-84.3181545,842046
Fulton,8654 ,314 ,33.8082405,-84.4345438,1041423
Dekalb,6905 ,173 ,33.7927093,-84.3270543,707089
Cobb,5758 ,246 ,33.9123906,-84.6972676,707442
Hall,3404 ,60 ,34.3058696,-84.1192568,185416
Clayton,2344 ,79 ,33.5212021,-84.4283069,259424
Muscogee,2137 ,52 ,32.4740307,-84.9775752,198413
Dougherty,1991 ,155 ,31.5429887,-84.3597205,94501
Chatham,1831 ,37 ,31.9710868,-81.351756,276434
Troup,1600 ,35 ,33.0366656,-85.098747,68468
Cherokee,1460 ,44 ,33.5005916,-84.4914783,221315
Henry,1445 ,33 ,33.4724802,-84.2785358,209053
Lowndes,1425 ,12 ,30.8276641,-83.5322856,114552
Whitfield,1327 ,13 ,34.8017812,-85.1298821,103359
Richmond,1279 ,54 ,33.3859619,-82.2310033,202587
Bibb,1207 ,41 ,32.8066395,-83.8313174,156462
Glynn,1162 ,6 ,31.2215288,-81.7627215,81022
Colquitt,1101 ,18 ,31.148152,-83.8272431,46137
Douglas,1101 ,36 ,33.689703,-84.8846812,133971
Forsyth,944 ,15 ,34.1927884,-84.2323435,187929
Carroll,846 ,40 ,33.5865758,-85.1703404,111580
Tift,823 ,26 ,31.4620157,-83.6427911,41064
Coweta,777 ,16 ,33.3513219,-84.8962861,130929
Bartow,774 ,42 ,34.2440988,-84.985769,100661
Houston,745 ,24 ,32.4870656,-83.9498473,146136
Habersham,717 ,36 ,34.6086982,-83.5456091,43520
Clarke,713 ,15 ,33.9441951,-83.5292082,120266
Newton,713 ,12 ,33.5556431,-84.0049802,101505
Paulding,679 ,16 ,33.9286041,-85.0268587,144800
Columbia,629 ,9 ,33.5275606,-82.3756279,131627
Coffee,617 ,17 ,31.5118862,-82.8942771,43170
Floyd,588 ,15 ,34.2748096,-85.265634,96177
Sumter,574 ,50 ,32.0771487,-84.2578416,31554
Baldwin,566 ,34 ,33.0581947,-83.3767553,46367
Rockdale,552 ,11 ,33.6558755,-84.1887723,85820
Barrow,535 ,25 ,34.0109181,-83.8433347,70169
Ware,510 ,16 ,30.9258764,-82.652756,35821
Bulloch,508 ,4 ,32.436937,-81.839803,72694
Thomas,497 ,32 ,30.8343417,-84.0114562,44724
Walton,468 ,28 ,33.7781427,-83.7941236,84575
Spalding,467 ,32 ,33.2655664,-84.4391162,63865
Mitchell,459 ,38 ,31.2498763,-84.2432471,23144
Gordon,438 ,18 ,34.509082,-85.0184651,55766
Jackson,434 ,10 ,34.1222725,-83.6498217,60571
Chattahoochee,429 ,0 ,32.3778761,-84.9477857,13037
Fayette,414 ,19 ,33.4036378,-84.6445108,107524
Lee,402 ,22 ,31.7689938,-84.2706385,28746
Upson,378 ,43 ,32.8670541,-84.3459853,26630
Harris,375 ,11 ,32.7873585,-84.9045071,32550
Walker,344 ,12 ,34.7120415,-85.3161595,68094
Worth,327 ,22 ,31.5836698,-84.1213062,21741
Catoosa,323 ,8 ,34.9113369,-85.1771685,65046
Butts,293 ,33 ,33.2876561,-84.008061,23524
Crisp,292 ,12 ,31.9169717,-83.9254823,23606
Appling,290 ,14 ,31.7632088,-82.420582,18368
Bacon,281 ,4 ,31.5480169,-82.43403,11198
Early,275 ,31 ,31.3765383,-84.9587256,10594
Toombs,274 ,5 ,32.1715359,-82.3339669,27315
Decatur,268 ,8 ,30.9053732,-84.6063261,27509
Stephens,262 ,6 ,34.574081,-83.4216966,25891
Murray,252 ,2 ,34.782174,-84.8306345,39392
Polk,234 ,1 ,33.9998606,-85.3123828,41188
Terrell,232 ,27 ,31.7941452,-84.5708394,9045
Grady,229 ,4 ,30.8768572,-84.2385266,25440
Laurens,225 ,1 ,32.4502041,-82.9615426,48041
Hancock,220 ,32 ,33.2769957,-82.9894837,8996
Franklin,217 ,1 ,34.3757117,-83.2478296,21894
Meriwether,216 ,3 ,33.0359618,-84.7321711,21273
Dooly,215 ,12 ,32.1523132,-83.8192581,14318
Randolph,201 ,25 ,31.7751648,-84.8872959,7327
Effingham,200 ,1 ,32.3453413,-81.6139433,53293
Pierce,199 ,5 ,31.297628,-82.3323931,18844
Monroe,198 ,18 ,33.0254067,-84.0551818,26637
Gilmer,196 ,2 ,34.6879469,-84.5081626,28190
Camden,188 ,2 ,30.9572853,-81.7273897,51402
Ben Hill,185 ,1 ,31.7220409,-83.3197009,17538
Echols,185 ,0 ,30.7421557,-82.9272262,3988
Brooks,184 ,11 ,30.8201276,-83.6967418,15403
Oconee,184 ,10 ,33.8320577,-83.6015497,33619
Stewart,184 ,3 ,32.0439972,-84.8137031,6042
Putnam,181 ,12 ,33.3256731,-83.4237009,21198
Turner,181 ,16 ,31.7097169,-83.7672869,8410
Cook,177 ,2 ,31.1675224,-83.4587171,16923
Calhoun,167 ,6 ,31.5374798,-84.6143248,6504
Bryan,166 ,5 ,31.9384847,-81.3366541,32214
Atkinson,162 ,2 ,31.2975054,-82.8710331,8284
Tattnall,158 ,0 ,32.0655552,-82.2023614,25384
Liberty,157 ,1 ,31.8747992,-81.64466,65471
Burke,156 ,7 ,33.0949232,-82.0493385,23125
Dawson,153 ,3 ,34.4758874,-84.2918991,22422
Lanier,152 ,3 ,31.0410238,-83.0922926,10400
White,151 ,4 ,34.6411092,-83.7623648,27556
Emanuel,146 ,3 ,32.5730671,-82.404137,22898
Lumpkin,145 ,3 ,34.527836,-84.017919,30611
Banks,144 ,1 ,34.3359133,-83.5336091,18316
Jefferson,139 ,1 ,32.997925,-82.433388,16432
Berrien,135 ,0 ,31.2075802,-83.2828336,19041
Washington,135 ,1 ,32.9842382,-82.8420655,20879
Wilcox,131 ,15 ,31.9484553,-83.4767476,9068
Lamar,130 ,6 ,33.0504451,-84.1869511,18057
Jeff Davis,126 ,3 ,31.8121297,-82.6602823,15156
Telfair,126 ,3 ,31.9351788,-82.9480671,16349
Mcduffie,125 ,7 ,33.4695855,-82.531416,21663
Jenkins,122 ,12 ,32.8086673,-81.9616381,9213
Madison,122 ,4 ,34.1279503,-83.2381266,27922
Macon,119 ,9 ,32.3019958,-84.0433236,14623
Peach,118 ,9 ,32.5658912,-83.9996748,27622
Elbert,115 ,0 ,34.103443,-82.9103666,19684
Dodge,113 ,2 ,32.1889054,-83.2835786,21329
Clinch,112 ,3 ,31.0413982,-82.770748,6718
Brantley,110 ,3 ,31.2089482,-81.9996745,18587
Fannin,107 ,1 ,34.8670726,-84.3366946,23492
Greene,104 ,9 ,33.564243,-83.213461,16092
Jones,103 ,0 ,32.9986012,-83.5811601,28577
Pike,103 ,3 ,32.0655552,-82.2023614,17810
Wayne,103 ,0 ,31.5594704,-81.9758095,30305
Johnson,102 ,2 ,32.692117,-82.6858691,9897
Pickens,101 ,5 ,34.4435055,-84.4995419,29268
Oglethorpe,98 ,7 ,33.8707055,-83.1174137,14618
Screven,98 ,7 ,32.7510527,-81.656462,14202
Marion,87 ,2 ,32.3200167,-84.535096,8711
Haralson,85 ,5 ,33.8053808,-85.1845181,28400
Hart,83 ,0 ,34.3556591,-82.996122,25518
Talbot,82 ,3 ,32.6773334,-84.5580366,6517
Wilkinson,82 ,8 ,32.8107172,-83.1912456,9577
Union,78 ,3 ,34.8131442,-83.9486638,21451
Jasper,77 ,1 ,33.3069437,-83.7069025,13630
Irwin,76 ,1 ,31.6042318,-83.2849291,9600
Wilkes,76 ,1 ,33.7637416,-82.8687134,10076
Dade,74 ,1 ,34.8756058,-85.5463536,16490
Bleckley,72 ,1 ,32.4450373,-83.3216414,12913
Chattooga,67 ,2 ,34.4742654,-85.3830821,25725
Charlton,66 ,2 ,30.7152281,-82.4366806,13295
Morgan,66 ,0 ,33.5806701,-83.5120246,17881
Heard,64 ,3 ,33.2791778,-85.1161361,11633
Mcintosh,63 ,1 ,31.5333111,-81.4445574,13839
Candler,62 ,0 ,32.3937981,-82.0966585,11117
Long,57 ,1 ,31.7764678,-82.0169041,16048
Rabun,57 ,3 ,34.8698023,-83.4554994,16297
Clay,56 ,2 ,31.5935371,-84.9543791,3116
Wheeler,55 ,0 ,32.1463907,-82.7966186,7888
Pulaski,54 ,2 ,32.2484974,-83.4608698,11720
Miller,52 ,0 ,31.1636817,-84.869848,5969
Crawford,51 ,0 ,32.7197317,-84.0190168,12600
Lincoln,51 ,1 ,33.8105078,-82.5722137,7737
Seminole,51 ,2 ,31.0403778,-84.8968852,8947
Towns,50 ,1 ,34.9181473,-83.7336489,10495
Baker,44 ,3 ,31.3455552,-84.4812548,3366
Taylor,37 ,2 ,32.5592902,-84.3821397,8420
Montgomery,33 ,0 ,6121,-82.6120317,8913
Evans,30 ,0 ,32.1617191,-81.9174632,10689
Treutlen,30 ,1 ,32.3735458,-82.6063247,6769
Twiggs,29 ,1 ,32.6867147,-83.3595676,8447
Warren,27 ,0 ,33.4064726,-82.682467,5578
Schley,26 ,1 ,32.2381915,-84.3265297,4990
Webster,24 ,2 ,32.1463907,-82.7966186,2793
Quitman,18 ,1 ,31.8730242,-85.0437054,2404
Glascock,10 ,0 ,33.2339586,-82.6065612,3142
Taliaferro,2 ,0 ,33.5545303,-82.9140466,1680
Unknown,1383 ,2 ,,,
Non-Georgia Resident,5994 ,48 ,,,
*Based on patient county of residence when known,,,,,
