county,cases,deaths,lat,lon,pop
Fulton,3595 ,149 ,33.8082405,-84.4345438,1041423
Dekalb,2605 ,72 ,33.7927093,-84.3270543,707089
Gwinnett,2495 ,101 ,33.9600231,-84.3181545,842046
Cobb,2254 ,124 ,33.9123906,-84.6972676,707442
Hall,2060 ,35 ,34.3058696,-84.1192568,185416
Dougherty,1643 ,129 ,31.5429887,-84.3597205,94501
Clayton,951 ,35 ,33.5212021,-84.4283069,26588
Cherokee,635 ,21 ,33.5005916,-84.4914783,221315
Henry,614 ,15 ,33.4724802,-84.2785358,209053
Richmond,469 ,17 ,33.3859619,-82.2310033,202587
Douglas,417 ,12 ,33.689703,-84.8846812,133971
Sumter,406 ,35 ,32.0771487,-84.2578416,31554
Carroll,398 ,19 ,33.5865758,-85.1703404,111580
Habersham,392 ,15 ,34.6086982,-83.5456091,43520
Muscogee,391 ,15 ,32.4740307,-84.9775752,198413
Forsyth,386 ,11 ,34.1927884,-84.2323435,187929
Bibb,376 ,14 ,32.8066395,-83.8313174,156462
Bartow,368 ,34 ,34.2440988,-84.985769,100661
Mitchell,357 ,32 ,31.2498763,-84.2432471,23144
Lee,343 ,22 ,31.7689938,-84.2706385,28746
Chatham,327 ,14 ,31.9710868,-81.351756,276434
Houston,290 ,15 ,32.4870656,-83.9498473,146136
Coweta,280 ,4 ,33.3513219,-84.8962861,130929
Baldwin,276 ,12 ,33.0581947,-83.3767553,46367
Thomas,264 ,26 ,30.8343417,-84.0114562,44724
Newton,261 ,8 ,33.5556431,-84.0049802,101505
Upson,254 ,25 ,32.8670541,-84.3459853,26630
Rockdale,245 ,7 ,33.6558755,-84.1887723,85820
Spalding,237 ,12 ,33.2655664,-84.4391162,63865
Barrow,232 ,7 ,34.0109181,-83.8433347,70169
Paulding,230 ,10 ,33.9286041,-85.0268587,144800
Early,228 ,27 ,31.3765383,-84.9587256,10594
Colquitt,221 ,11 ,31.148152,-83.8272431,46137
Fayette,202 ,12 ,33.4036378,-84.6445108,107524
