county,cases,deaths,lat,lon,pop
Fulton,2222 ,84 ,33.8109499,-84.7310481,1041423
Dekalb,1587 ,30 ,33.7927093,-84.3270543,707089
Dougherty,1468 ,107 ,31.5429887,-84.3597205,94501
Gwinnett,1263 ,46 ,33.9600231,-84.3181545,842046
Cobb,1259 ,61 ,33.9123906,-84.6972676,707442
Hall,778 ,9 ,34.3058696,-84.1192568,185416
Clayton,548 ,21 ,34.2428643,-84.5984981,26588
Henry,388 ,10 ,33.4724802,-84.2785358,209053
Sumter,341 ,20 ,32.0771487,-84.2578416,31554
Cherokee,331 ,10 ,33.5005916,-84.4914783,221315
Carroll,311 ,11 ,33.5865758,-85.1703404,111580
Richmond,309 ,13 ,33.3859619,-82.2310033,202587
Lee,292 ,17 ,31.7689938,-84.2706385,28746
Mitchell,278 ,23 ,31.2498763,-84.2432471,23144
Bartow,258 ,27 ,34.2440988,-84.985769,100661
Douglas,253 ,8 ,33.689703,-84.8846812,133971
Muscogee,237 ,4 ,32.4740307,-84.9775752,198413
Forsyth,223 ,8 ,34.1927884,-84.2323435,187929
Bibb,217 ,4 ,32.8066395,-83.8313174,156462
Chatham,193 ,6 ,31.9710868,-81.351756,276434
Houston,188 ,13 ,32.4870656,-83.9498473,146136
Upson,186 ,12 ,32.8670541,-84.3459853,26630
Early,176 ,12 ,31.3765383,-84.9587256,10594
Coweta,168 ,4 ,33.3513219,-84.8962861,130929
Terrell,159 ,18 ,31.7941452,-84.5708394,9045
Colquitt,157 ,6 ,31.148152,-83.8272431,46137
Randolph,147 ,17 ,31.7751648,-84.8872959,7327
Fayette,145 ,8 ,33.4036378,-84.6445108,107524
Newton,144 ,4 ,33.5556431,-84.0049802,101505
Paulding,144 ,7 ,33.9286041,-85.0268587,144800
Thomas,144 ,14 ,30.8343417,-84.0114562,44724
Rockdale,143 ,6 ,33.6558755,-84.1887723,85820
Baldwin,142 ,4 ,33.0581947,-83.3767553,46367
Worth,141 ,9 ,31.5836698,-84.1213062,21741
Spalding,139 ,8 ,33.2655664,-84.4391162,63865
Crisp,128 ,2 ,31.9169717,-83.9254823,23606
Floyd,127 ,8 ,34.2748096,-85.265634,96177
Columbia,123 ,2 ,33.5275606,-82.3756279,131627
Habersham,119 ,2 ,34.6086982,-83.5456091,43520
Clarke,116 ,13 ,33.9441951,-83.5292082,120266
Lowndes,116 ,3 ,30.8276641,-83.5322856,114552
Troup,107 ,4 ,33.0366656,-85.098747,68468
Barrow,101 ,3 ,34.0109181,-83.8433347,70169
Ware,95 ,7 ,30.9258764,-82.652756,35821
Tift,91 ,3 ,31.4620157,-83.6427911,41064
Coffee,84 ,4 ,31.5118862,-82.8942771,43170
Butts,83 ,1 ,33.2876561,-84.008061,23524
Calhoun,75 ,2 ,31.5374798,-84.6143248,6504
Dooly,73 ,6 ,32.1523132,-83.8192581,14318
Gordon,68 ,8 ,34.509082,-85.0184651,55766
Walton,64 ,3 ,33.7781427,-83.7941236,84575
Jackson,63 ,1 ,34.1222725,-83.6498217,60571
Turner,59 ,5 ,31.7097169,-83.7672869,8410
Macon,57 ,2 ,32.3019958,-84.0433236,14623
Oconee,53 ,0 ,33.8320577,-83.6015497,33619
Burke,51 ,3 ,33.0949232,-82.0493385,23125
Pierce,51 ,2 ,31.297628,-82.3323931,18844
Decatur,50 ,1 ,30.9053732,-84.6063261,27509
Glynn,49 ,0 ,31.2215288,-81.7627215,81022
Greene,49 ,1 ,33.564243,-83.213461,16092
Dawson,48 ,1 ,34.4758874,-84.2918991,22422
Harris,48 ,2 ,32.7873585,-84.9045071,32550
Meriwether,47 ,0 ,33.0359618,-84.7321711,21273
Whitfield,47 ,4 ,34.8017812,-85.1298821,103359
Appling,46 ,2 ,31.7632088,-82.420582,18368
Wilcox,46 ,6 ,31.9484553,-83.4767476,9068
Laurens,43 ,1 ,32.4502041,-82.9615426,48041
Stephens,41 ,1 ,34.574081,-83.4216966,25891
Bryan,38 ,2 ,31.9384847,-81.3366541,32214
Grady,38 ,2 ,30.8768572,-84.2385266,25440
Johnson,37 ,1 ,32.692117,-82.6858691,9897
Mcduffie,37 ,4 ,33.4695855,-82.531416,21663
Oglethorpe,37 ,3 ,33.8707055,-83.1174137,14618
Polk,36 ,0 ,33.9998606,-85.3123828,41188
Walker,36 ,0 ,34.7120415,-85.3161595,68094
Brooks,35 ,6 ,30.8201276,-83.6967418,15403
Peach,35 ,2 ,32.5658912,-83.9996748,27622
Pike,35 ,2 ,32.0655552,-82.2023614,17810
Liberty,34 ,0 ,31.8747992,-81.64466,65471
Marion,33 ,1 ,32.3200167,-84.535096,8711
Bulloch,32 ,2 ,32.436937,-81.839803,72694
White,32 ,0 ,34.6411092,-83.7623648,27556
Effingham,30 ,1 ,32.3453413,-81.6139433,53293
Catoosa,29 ,0 ,34.9113369,-85.1771685,65046
Lamar,28 ,0 ,33.0504451,-84.1869511,18057
Washington,28 ,1 ,32.9842382,-82.8420655,20879
Camden,27 ,0 ,30.9572853,-81.7273897,51402
Putnam,27 ,2 ,33.3256731,-83.4237009,21198
Lumpkin,26 ,0 ,34.527836,-84.017919,30611
Seminole,26 ,2 ,31.0403778,-84.8968852,8947
Haralson,25 ,1 ,33.8053808,-85.1845181,28400
Miller,23 ,0 ,31.1636817,-84.869848,5969
Morgan,23 ,0 ,33.5806701,-83.5120246,17881
Jones,22 ,0 ,32.9986012,-83.5811601,28577
Talbot,22 ,1 ,32.6773334,-84.5580366,6517
Wilkinson,22 ,2 ,32.8107172,-83.1912456,9577
Dodge,21 ,0 ,32.1889054,-83.2835786,21329
Toombs,21 ,3 ,32.1715359,-82.3339669,27315
Wilkes,21 ,0 ,33.7637416,-82.8687134,10076
Bacon,20 ,1 ,31.5480169,-82.43403,11198
Baker,20 ,2 ,31.3455552,-84.4812548,3366
Brantley,20 ,2 ,31.2089482,-81.9996745,18587
Clay,20 ,2 ,31.5935371,-84.9543791,3116
Ben Hill,19 ,0 ,31.7220409,-83.3197009,17538
Gilmer,19 ,0 ,34.6879469,-84.5081626,28190
Murray,19 ,0 ,34.782174,-84.8306345,39392
Fannin,18 ,0 ,34.8670726,-84.3366946,23492
Jasper,18 ,0 ,33.3069437,-83.7069025,13630
Madison,18 ,1 ,34.1279503,-83.2381266,27922
Pickens,18 ,2 ,34.4435055,-84.4995419,29268
Telfair,18 ,0 ,31.9351788,-82.9480671,16349
Pulaski,17 ,1 ,32.2484974,-83.4608698,11720
Stewart,17 ,0 ,32.0439972,-84.8137031,6042
Banks,16 ,0 ,34.3359133,-83.5336091,18316
Schley,16 ,1 ,32.2381915,-84.3265297,4990
Emanuel,15 ,0 ,32.5730671,-82.404137,22898
Irwin,15 ,0 ,31.6042318,-83.2849291,9600
Monroe,15 ,1 ,33.0254067,-84.0551818,26637
Towns,15 ,0 ,34.9181473,-83.7336489,10495
Union,15 ,1 ,34.8131442,-83.9486638,21451
Crawford,14 ,0 ,32.7197317,-84.0190168,12600
Jenkins,14 ,1 ,32.8086673,-81.9616381,9213
Screven,14 ,1 ,32.7510527,-81.656462,14202
Cook,13 ,1 ,31.1675224,-83.4587171,16923
Dade,13 ,1 ,34.8756058,-85.5463536,16490
Franklin,13 ,0 ,34.3757117,-83.2478296,21894
Taylor,13 ,2 ,32.5592902,-84.3821397,8420
Jefferson,11 ,1 ,32.997925,-82.433388,16432
Berrien,10 ,0 ,31.2075802,-83.2828336,19041
Chattooga,10 ,1 ,34.4742654,-85.3830821,25725
Elbert,10 ,0 ,34.103443,-82.9103666,19684
Hancock,10 ,0 ,33.2769957,-82.9894837,8996
Lincoln,10 ,0 ,33.8105078,-82.5722137,7737
Warren,10 ,0 ,33.4064726,-82.682467,5578
Wayne,10 ,0 ,31.5594704,-81.9758095,30305
Heard,8 ,1 ,33.2791778,-85.1161361,11633
Rabun,8 ,0 ,34.8698023,-83.4554994,16297
Candler,7 ,0 ,32.3937981,-82.0966585,11117
Charlton,7 ,0 ,30.7152281,-82.4366806,13295
Chattahoochee,7 ,0 ,32.3778761,-84.9477857,13037
Clinch,7 ,0 ,31.0413982,-82.770748,6718
Jeff Davis,7 ,1 ,31.8121297,-82.6602823,15156
Lanier,7 ,1 ,31.0410238,-83.0922926,10400
Webster,7 ,0 ,32.1463907,-82.7966186,2793
Hart,6 ,0 ,34.3556591,-82.996122,25518
Atkinson,5 ,0 ,31.2975054,-82.8710331,8284
Bleckley,5 ,0 ,32.4450373,-83.3216414,12913
Echols,5 ,0 ,30.7421557,-82.9272262,3988
Tattnall,5 ,0 ,32.0655552,-82.2023614,25384
Evans,4 ,0 ,32.1617191,-81.9174632,10689
Mcintosh,4 ,0 ,31.5333111,-81.4445574,13839
Twiggs,4 ,0 ,32.6867147,-83.3595676,8447
Quitman,3 ,1 ,31.8730242,-85.0437054,2404
Wheeler,3 ,0 ,32.1463907,-82.7966186,7888
Long,2 ,0 ,31.7764678,-82.0169041,16048
Montgomery,2 ,0 ,6121,-82.6120317,8913
Treutlen,2 ,0 ,32.3735458,-82.6063247,6769
Unknown,667 ,0 ,,,
Non-Georgia Resident,1002 ,8 ,,,
*Based on patient county of residence when known,,,,,
