county,cases,deaths,lat,lon,pop
Gwinnett,5298 ,155 ,33.9600231,-84.3181545,842046
Fulton,5158 ,290 ,33.8082405,-84.4345438,1041423
Dekalb,4354 ,148 ,33.7927093,-84.3270543,707089
Cobb,3618 ,217 ,33.9123906,-84.6972676,707442
Hall,2753 ,55 ,34.3058696,-84.1192568,185416
Dougherty,1839 ,150 ,31.5429887,-84.3597205,94501
Clayton,1440 ,72 ,33.5212021,-84.4283069,26588
Cherokee,1040 ,38 ,33.5005916,-84.4914783,221315
Muscogee,1021 ,28 ,32.4740307,-84.9775752,198413
Henry,852 ,30 ,33.4724802,-84.2785358,209053
Troup,792 ,23 ,33.0366656,-85.098747,68468
Richmond,682 ,38 ,33.3859619,-82.2310033,202587
Colquitt,679 ,17 ,31.148152,-83.8272431,46137
Douglas,660 ,28 ,33.689703,-84.8846812,133971
Lowndes,647 ,4 ,30.8276641,-83.5322856,114552
Chatham,634 ,31 ,31.9710868,-81.351756,276434
Whitfield,617 ,10 ,34.8017812,-85.1298821,103359
Carroll,614 ,37 ,33.5865758,-85.1703404,111580
Forsyth,597 ,13 ,34.1927884,-84.2323435,187929
Habersham,595 ,31 ,34.6086982,-83.5456091,43520
Bartow,548 ,39 ,34.2440988,-84.985769,100661
Bibb,541 ,36 ,32.8066395,-83.8313174,156462
Coweta,515 ,12 ,33.3513219,-84.8962861,130929
Sumter,511 ,50 ,32.0771487,-84.2578416,31554
Houston,446 ,20 ,32.4870656,-83.9498473,146136
Mitchell,432 ,37 ,31.2498763,-84.2432471,23144
Baldwin,428 ,31 ,33.0581947,-83.3767553,46367
Tift,423 ,22 ,31.4620157,-83.6427911,41064
Newton,421 ,11 ,33.5556431,-84.0049802,101505
Paulding,408 ,13 ,33.9286041,-85.0268587,144800
Barrow,387 ,23 ,34.0109181,-83.8433347,70169
Lee,374 ,22 ,31.7689938,-84.2706385,28746
Floyd,370 ,15 ,34.2748096,-85.265634,96177
Thomas,364 ,33 ,30.8343417,-84.0114562,44724
Clarke,347 ,15 ,33.9441951,-83.5292082,120266
Coffee,346 ,14 ,31.5118862,-82.8942771,43170
Rockdale,345 ,9 ,33.6558755,-84.1887723,85820
Walton,327 ,23 ,33.7781427,-83.7941236,84575
Spalding,317 ,24 ,33.2655664,-84.4391162,63865
Columbia,301 ,8 ,33.5275606,-82.3756279,131627
Upson,295 ,40 ,32.8670541,-84.3459853,26630
Ware,280 ,14 ,30.9258764,-82.652756,35821
Fayette,261 ,15 ,33.4036378,-84.6445108,107524
Jackson,261 ,7 ,34.1222725,-83.6498217,60571
Worth,260 ,21 ,31.5836698,-84.1213062,21741
Gordon,256 ,18 ,34.509082,-85.0184651,55766
Early,255 ,31 ,31.3765383,-84.9587256,10594
Chattahoochee,251 ,0 ,32.3778761,-84.9477857,13037
Butts,245 ,32 ,33.2876561,-84.008061,23524
Crisp,242 ,10 ,31.9169717,-83.9254823,23606
Catoosa,232 ,0 ,34.9113369,-85.1771685,65046
Decatur,224 ,8 ,30.9053732,-84.6063261,27509
Walker,224 ,2 ,34.7120415,-85.3161595,68094
Terrell,218 ,26 ,31.7941452,-84.5708394,9045
Appling,205 ,13 ,31.7632088,-82.420582,18368
Harris,203 ,6 ,32.7873585,-84.9045071,32550
Hancock,202 ,30 ,33.2769957,-82.9894837,8996
Dooly,197 ,12 ,32.1523132,-83.8192581,14318
Randolph,191 ,22 ,31.7751648,-84.8872959,7327
Glynn,190 ,3 ,31.2215288,-81.7627215,81022
Bacon,177 ,3 ,31.5480169,-82.43403,11198
Gilmer,170 ,1 ,34.6879469,-84.5081626,28190
Polk,165 ,1 ,33.9998606,-85.3123828,41188
Echols,160 ,0 ,30.7421557,-82.9272262,3988
Stephens,153 ,5 ,34.574081,-83.4216966,25891
Turner,153 ,14 ,31.7097169,-83.7672869,8410
Calhoun,148 ,6 ,31.5374798,-84.6143248,6504
Murray,143 ,1 ,34.782174,-84.8306345,39392
Franklin,140 ,1 ,34.3757117,-83.2478296,21894
Grady,139 ,4 ,30.8768572,-84.2385266,25440
Monroe,131 ,14 ,33.0254067,-84.0551818,26637
Pierce,131 ,4 ,31.297628,-82.3323931,18844
Oconee,130 ,9 ,33.8320577,-83.6015497,33619
Meriwether,127 ,3 ,33.0359618,-84.7321711,21273
Burke,126 ,6 ,33.0949232,-82.0493385,23125
White,124 ,4 ,34.6411092,-83.7623648,27556
Dawson,119 ,3 ,34.4758874,-84.2918991,22422
Laurens,118 ,1 ,32.4502041,-82.9615426,48041
Wilcox,118 ,14 ,31.9484553,-83.4767476,9068
Putnam,112 ,12 ,33.3256731,-83.4237009,21198
Macon,110 ,8 ,32.3019958,-84.0433236,14623
Banks,109 ,1 ,34.3359133,-83.5336091,18316
Bulloch,108 ,3 ,32.436937,-81.839803,72694
Toombs,108 ,4 ,32.1715359,-82.3339669,27315
Lumpkin,107 ,1 ,34.527836,-84.017919,30611
Ben Hill,105 ,1 ,31.7220409,-83.3197009,17538
Brooks,98 ,11 ,30.8201276,-83.6967418,15403
Lanier,98 ,2 ,31.0410238,-83.0922926,10400
Liberty,95 ,1 ,31.8747992,-81.64466,65471
Peach,91 ,8 ,32.5658912,-83.9996748,27622
Bryan,86 ,5 ,31.9384847,-81.3366541,32214
Effingham,86 ,1 ,32.3453413,-81.6139433,53293
Elbert,86 ,0 ,34.103443,-82.9103666,19684
Greene,86 ,8 ,33.564243,-83.213461,16092
Clinch,80 ,2 ,31.0413982,-82.770748,6718
Lamar,79 ,5 ,33.0504451,-84.1869511,18057
Johnson,77 ,2 ,32.692117,-82.6858691,9897
Atkinson,76 ,2 ,31.2975054,-82.8710331,8284
Washington,76 ,1 ,32.9842382,-82.8420655,20879
Camden,75 ,1 ,30.9572853,-81.7273897,51402
Cook,75 ,1 ,31.1675224,-83.4587171,16923
Oglethorpe,75 ,7 ,33.8707055,-83.1174137,14618
Mcduffie,74 ,5 ,33.4695855,-82.531416,21663
Berrien,73 ,0 ,31.2075802,-83.2828336,19041
Madison,73 ,2 ,34.1279503,-83.2381266,27922
Wilkinson,73 ,7 ,32.8107172,-83.1912456,9577
Pike,70 ,3 ,32.0655552,-82.2023614,17810
Brantley,69 ,2 ,31.2089482,-81.9996745,18587
Pickens,68 ,4 ,34.4435055,-84.4995419,29268
Fannin,67 ,1 ,34.8670726,-84.3366946,23492
Screven,63 ,4 ,32.7510527,-81.656462,14202
Stewart,63 ,1 ,32.0439972,-84.8137031,6042
Marion,62 ,2 ,32.3200167,-84.535096,8711
Haralson,57 ,4 ,33.8053808,-85.1845181,28400
Dodge,56 ,2 ,32.1889054,-83.2835786,21329
Jasper,56 ,1 ,33.3069437,-83.7069025,13630
Jefferson,56 ,1 ,32.997925,-82.433388,16432
Tattnall,56 ,0 ,32.0655552,-82.2023614,25384
Jeff Davis,55 ,2 ,31.8121297,-82.6602823,15156
Bleckley,54 ,1 ,32.4450373,-83.3216414,12913
Telfair,54 ,2 ,31.9351788,-82.9480671,16349
Emanuel,53 ,2 ,32.5730671,-82.404137,22898
Union,53 ,3 ,34.8131442,-83.9486638,21451
Clay,52 ,2 ,31.5935371,-84.9543791,3116
Jones,51 ,0 ,32.9986012,-83.5811601,28577
Dade,48 ,1 ,34.8756058,-85.5463536,16490
Seminole,48 ,2 ,31.0403778,-84.8968852,8947
Talbot,47 ,2 ,32.6773334,-84.5580366,6517
Pulaski,46 ,2 ,32.2484974,-83.4608698,11720
Jenkins,45 ,6 ,32.8086673,-81.9616381,9213
Miller,45 ,0 ,31.1636817,-84.869848,5969
Hart,44 ,0 ,34.3556591,-82.996122,25518
Heard,43 ,3 ,33.2791778,-85.1161361,11633
