county,cases,deaths,lat,lon
Fulton,1422 ,50 ,33.8109499,-84.7310481
Dougherty,1076 ,69 ,31.5429887,-84.3597205
Dekalb,835 ,13 ,33.7927093,-84.3270543
Cobb,696 ,33 ,33.9123906,-84.6972676
Gwinnett,675 ,18 ,33.9600231,-84.3181545
Clayton,331 ,11 ,34.2428643,-84.5984981
Hall,275 ,0 ,34.3058696,-84.1192568
Henry,249 ,3 ,33.4724802,-84.2785358
Lee,234 ,15 ,31.7689938,-84.2706385
Sumter,222 ,9 ,32.0771487,-84.2578416
Bartow,209 ,15 ,34.2440988,-84.985769
Carroll,201 ,5 ,33.5865758,-85.1703404
Cherokee,182 ,7 ,33.5005916,-84.4914783
Douglas,147 ,5 ,33.689703,-84.8846812
Muscogee,144 ,4 ,32.4740307,-84.9775752
Chatham,142 ,5 ,31.9710868,-81.351756
Richmond,138 ,3 ,33.3859619,-82.2310033
Mitchell,135 ,13 ,31.2498763,-84.2432471
Forsyth,121 ,4 ,34.1927884,-84.2323435
Houston,113 ,7 ,32.4870656,-83.9498473
Early,106 ,6 ,31.3765383,-84.9587256
Floyd,105 ,5 ,34.2748096,-85.265634
Terrell,104 ,10 ,31.7941452,-84.5708394
Randolph,103 ,5 ,31.7751648,-84.8872959
Coweta,101 ,2 ,33.3513219,-84.8962861
Fayette,94 ,4 ,33.4036378,-84.6445108
Rockdale,91 ,2 ,33.6558755,-84.1887723
Clarke,82 ,11 ,33.9441951,-83.5292082
Colquitt,80 ,5 ,31.148152,-83.8272431
Worth,78 ,4 ,31.5836698,-84.1213062
Newton,77 ,3 ,33.5556431,-84.0049802
Paulding,76 ,2 ,33.9286041,-85.0268587
Thomas,74 ,3 ,30.8343417,-84.0114562
Crisp,67 ,0 ,31.9169717,-83.9254823
Columbia,66 ,0 ,33.5275606,-82.3756279
Spalding,65 ,4 ,33.2655664,-84.4391162
Bibb,63 ,1 ,32.8066395,-83.8313174
Lowndes,59 ,2 ,30.8276641,-83.5322856
Tift,57 ,1 ,31.4620157,-83.6427911
Troup,55 ,3 ,33.0366656,-85.098747
Coffee,53 ,2 ,31.5118862,-82.8942771
Barrow,51 ,3 ,34.0109181,-83.8433347
Upson,51 ,1 ,32.8670541,-84.3459853
Ware,50 ,4 ,30.9258764,-82.652756
Pierce,45 ,2 ,31.297628,-82.3323931
Baldwin,44 ,1 ,33.0581947,-83.3767553
Calhoun,41 ,2 ,31.5374798,-84.6143248
Dooly,40 ,1 ,32.1523132,-83.8192581
Oconee,36 ,0 ,33.8320577,-83.6015497
Walton,36 ,2 ,33.7781427,-83.7941236
Glynn,33 ,0 ,31.2215288,-81.7627215
Gordon,29 ,3 ,34.509082,-85.0184651
Turner,29 ,0 ,31.7097169,-83.7672869
Bryan,28 ,1 ,31.9384847,-81.3366541
Burke,28 ,1 ,33.0949232,-82.0493385
Laurens,28 ,1 ,32.4502041,-82.9615426
Butts,27 ,0 ,33.2876561,-84.008061
Decatur,27 ,0 ,30.9053732,-84.6063261
Jackson,26 ,1 ,34.1222725,-83.6498217
Dawson,25 ,2 ,34.4758874,-84.2918991
Greene,25 ,1 ,33.564243,-83.213461
Whitfield,24 ,3 ,34.8017812,-85.1298821
Meriwether,22 ,0 ,33.0359618,-84.7321711
Peach,21 ,2 ,32.5658912,-83.9996748
Polk,21 ,0 ,33.9998606,-85.3123828
Washington,21 ,0 ,32.9842382,-82.8420655
Camden,20 ,0 ,30.9572853,-81.7273897
Effingham,20 ,1 ,32.3453413,-81.6139433
Mcduffie,20 ,2 ,33.4695855,-82.531416
Harris,19 ,1 ,32.7873585,-84.9045071
Macon,19 ,0 ,32.3019958,-84.0433236
Brooks,18 ,1 ,30.8201276,-83.6967418
Stephens,17 ,0 ,34.574081,-83.4216966
Bulloch,16 ,1 ,32.436937,-81.839803
Liberty,16 ,0 ,31.8747992,-81.64466
Clay,15 ,1 ,31.5935371,-84.9543791
Grady,15 ,0 ,30.8768572,-84.2385266
Haralson,15 ,0 ,33.8053808,-85.1845181
Johnson,15 ,1 ,32.692117,-82.6858691
Lamar,15 ,0 ,33.0504451,-84.1869511
Pike,15 ,0 ,32.0655552,-82.2023614
Bacon,14 ,0 ,31.5480169,-82.43403
Habersham,14 ,1 ,34.6086982,-83.5456091
Morgan,14 ,0 ,33.5806701,-83.5120246
Murray,14 ,0 ,34.782174,-84.8306345
Seminole,14 ,0 ,31.0403778,-84.8968852
Baker,12 ,2 ,31.3455552,-84.4812548
Catoosa,12 ,0 ,34.9113369,-85.1771685
Monroe,12 ,1 ,33.0254067,-84.0551818
Oglethorpe,12 ,1 ,33.8707055,-83.1174137
Schley,12 ,1 ,32.2381915,-84.3265297
Irwin,11 ,0 ,31.6042318,-83.2849291
Jones,11 ,0 ,32.9986012,-83.5811601
Toombs,11 ,1 ,32.1715359,-82.3339669
White,11 ,0 ,34.6411092,-83.7623648
Madison,10 ,1 ,34.1279503,-83.2381266
Marion,10 ,0 ,32.3200167,-84.535096
Miller,10 ,0 ,31.1636817,-84.869848
Pickens,10 ,2 ,34.4435055,-84.4995419
Wilkinson,10 ,1 ,32.8107172,-83.1912456
Appling,9 ,0 ,31.7632088,-82.420582
Dodge,9 ,0 ,32.1889054,-83.2835786
Fannin,9 ,0 ,34.8670726,-84.3366946
Jenkins,9 ,1 ,32.8086673,-81.9616381
Lumpkin,9 ,0 ,34.527836,-84.017919
Pulaski,9 ,0 ,32.2484974,-83.4608698
Talbot,9 ,1 ,32.6773334,-84.5580366
Telfair,9 ,0 ,31.9351788,-82.9480671
Ben Hill,8 ,0 ,31.7220409,-83.3197009
Lincoln,8 ,0 ,33.8105078,-82.5722137
Banks,7 ,0 ,34.3359133,-83.5336091
Brantley,7 ,1 ,31.2089482,-81.9996745
Emanuel,7 ,0 ,32.5730671,-82.404137
Taylor,7 ,2 ,32.5592902,-84.3821397
Union,7 ,1 ,34.8131442,-83.9486638
