county,cases,deaths,lat,lon,pop
Fulton,2037 ,74 ,33.8109499,-84.7310481,1041423
Dougherty,1385 ,91 ,31.5429887,-84.3597205,94501
Dekalb,1366 ,23 ,33.7927093,-84.3270543,707089
Cobb,1085 ,51 ,33.9123906,-84.6972676,707442
Gwinnett,1037 ,36 ,33.9600231,-84.3181545,842046
Hall,605 ,6 ,34.3058696,-84.1192568,185416
Clayton,499 ,16 ,34.2428643,-84.5984981,26588
Henry,350 ,7 ,33.4724802,-84.2785358,209053
Sumter,306 ,14 ,32.0771487,-84.2578416,31554
Cherokee,274 ,8 ,33.5005916,-84.4914783,221315
Lee,269 ,15 ,31.7689938,-84.2706385,28746
Carroll,261 ,8 ,33.5865758,-85.1703404,111580
Richmond,246 ,10 ,33.3859619,-82.2310033,202587
Bartow,245 ,22 ,34.2440988,-84.985769,100661
Douglas,222 ,6 ,33.689703,-84.8846812,133971
Muscogee,210 ,4 ,32.4740307,-84.9775752,198413
Mitchell,209 ,23 ,31.2498763,-84.2432471,23144
Bibb,191 ,1 ,32.8066395,-83.8313174,156462
Forsyth,185 ,6 ,34.1927884,-84.2323435,187929
Chatham,174 ,5 ,31.9710868,-81.351756,276434
Houston,164 ,10 ,32.4870656,-83.9498473,146136
Upson,164 ,8 ,32.8670541,-84.3459853,26630
Early,163 ,8 ,31.3765383,-84.9587256,10594
Coweta,153 ,3 ,33.3513219,-84.8962861,130929
Terrell,142 ,14 ,31.7941452,-84.5708394,9045
Randolph,140 ,12 ,31.7751648,-84.8872959,7327
Fayette,134 ,5 ,33.4036378,-84.6445108,107524
Paulding,132 ,5 ,33.9286041,-85.0268587,144800
Spalding,124 ,7 ,33.2655664,-84.4391162,63865
Floyd,121 ,8 ,34.2748096,-85.265634,96177
Newton,121 ,3 ,33.5556431,-84.0049802,101505
Rockdale,117 ,6 ,33.6558755,-84.1887723,85820
Worth,116 ,4 ,31.5836698,-84.1213062,21741
Thomas,115 ,13 ,30.8343417,-84.0114562,44724
Crisp,113 ,2 ,31.9169717,-83.9254823,23606
Baldwin,112 ,2 ,33.0581947,-83.3767553,46367
Colquitt,108 ,5 ,31.148152,-83.8272431,46137
Clarke,106 ,13 ,33.9441951,-83.5292082,120266
Columbia,91 ,1 ,33.5275606,-82.3756279,131627
Barrow,85 ,3 ,34.0109181,-83.8433347,70169
Lowndes,83 ,3 ,30.8276641,-83.5322856,114552
Tift,80 ,3 ,31.4620157,-83.6427911,41064
Troup,80 ,4 ,33.0366656,-85.098747,68468
Ware,77 ,5 ,30.9258764,-82.652756,35821
Coffee,74 ,3 ,31.5118862,-82.8942771,43170
Habersham,72 ,2 ,34.6086982,-83.5456091,43520
Dooly,69 ,4 ,32.1523132,-83.8192581,14318
Walton,58 ,3 ,33.7781427,-83.7941236,84575
Calhoun,57 ,2 ,31.5374798,-84.6143248,6504
Decatur,55 ,0 ,30.9053732,-84.6063261,27509
Gordon,55 ,5 ,34.509082,-85.0184651,55766
Turner,51 ,2 ,31.7097169,-83.7672869,8410
Pierce,49 ,2 ,31.297628,-82.3323931,18844
Oconee,48 ,0 ,33.8320577,-83.6015497,33619
Glynn,46 ,0 ,31.2215288,-81.7627215,81022
Jackson,46 ,1 ,34.1222725,-83.6498217,60571
Macon,46 ,0 ,32.3019958,-84.0433236,14623
Dawson,42 ,1 ,34.4758874,-84.2918991,22422
Whitfield,41 ,3 ,34.8017812,-85.1298821,103359
Butts,40 ,0 ,33.2876561,-84.008061,23524
Greene,40 ,1 ,33.564243,-83.213461,16092
Meriwether,40 ,0 ,33.0359618,-84.7321711,21273
Laurens,39 ,1 ,32.4502041,-82.9615426,48041
Burke,38 ,2 ,33.0949232,-82.0493385,23125
Wilcox,38 ,0 ,31.9484553,-83.4767476,9068
Harris,36 ,2 ,32.7873585,-84.9045071,32550
Mcduffie,35 ,2 ,33.4695855,-82.531416,21663
Johnson,33 ,1 ,32.692117,-82.6858691,9897
Liberty,32 ,0 ,31.8747992,-81.64466,65471
