county,case,deaths,lat,lon
Jefferson,2,0,32.997925,-82.433388
Macon,2,0,32.3019958,-84.0433236
Morgan,2,0,33.5806701,-83.5120246
Pike,2,0,32.0655552,-82.2023614
Rabun,2,0,34.8698023,-83.4554994
Tattnall,2,0,32.0655552,-82.2023614
Taylor,2,0,32.5592902,-84.3821397
Twiggs,2,0,32.6867147,-83.3595676
Wilkes,2,0,33.7637416,-82.8687134
Appling,1,0,31.7632088,-82.420582
Berrien,1,0,31.2075802,-83.2828336
Bleckley,1,0,32.4450373,-83.3216414
Candler,1,0,32.3937981,-82.0966585
Charlton,1,0,30.7152281,-82.4366806
Chattahoochee,1,0,32.3778761,-84.9477857
Clinch,1,0,31.0413982,-82.770748
Cook,1,0,31.1675224,-83.4587171
Dade,1,0,34.8756058,-85.5463536
Emanuel,1,0,32.5730671,-82.404137
Gilmer,1,0,34.6879469,-84.5081626
Grady,1,0,30.8768572,-84.2385266
Heard,1,1,33.2791778,-85.1161361
Jeff Davis,1,0,31.8121297,-82.6602823
Jenkins,1,0,32.8086673,-81.9616381
Johnson,1,0,32.692117,-82.6858691
Long,1,0,31.7764678,-82.0169041
Mcintosh,1,0,31.5333111,-81.4445574
Oglethorpe,1,0,33.8707055,-83.1174137
Screven,1,0,32.7510527,-81.656462
Stewart,1,0,32.0439972,-84.8137031
Talbot,1,0,32.6773334,-84.5580366
Walker,1,0,34.7120415,-85.3161595
Webster,1,0,32.1463907,-82.7966186
Wheeler,1,0,32.1463907,-82.7966186
Wilcox,1,0,31.9484553,-83.4767476
Wilkinson,1,0,32.8107172,-83.1912456
Unknown,183,1,,
