county,cases,deaths,lat,lon
Fulton,1493 ,50 ,33.8109499,-84.7310481
Dougherty,1175 ,72 ,31.5429887,-84.3597205
Dekalb,891 ,14 ,33.7927093,-84.3270543
Cobb,727 ,35 ,33.9123906,-84.6972676
Gwinnett,701 ,19 ,33.9600231,-84.3181545
Clayton,371 ,11 ,34.2428643,-84.5984981
Hall,281 ,0 ,34.3058696,-84.1192568
Henry,263 ,3 ,33.4724802,-84.2785358
Lee,244 ,15 ,31.7689938,-84.2706385
Sumter,239 ,9 ,32.0771487,-84.2578416
Bartow,213 ,16 ,34.2440988,-84.985769
Carroll,210 ,5 ,33.5865758,-85.1703404
Cherokee,187 ,7 ,33.5005916,-84.4914783
Douglas,158 ,5 ,33.689703,-84.8846812
Muscogee,156 ,4 ,32.4740307,-84.9775752
Chatham,148 ,5 ,31.9710868,-81.351756
Richmond,144 ,4 ,33.3859619,-82.2310033
Mitchell,138 ,14 ,31.2498763,-84.2432471
Forsyth,132 ,5 ,34.1927884,-84.2323435
Early,125 ,6 ,31.3765383,-84.9587256
Houston,121 ,7 ,32.4870656,-83.9498473
Randolph,111 ,5 ,31.7751648,-84.8872959
Terrell,109 ,10 ,31.7941452,-84.5708394
Floyd,108 ,5 ,34.2748096,-85.265634
Coweta,106 ,2 ,33.3513219,-84.8962861
Fayette,100 ,4 ,33.4036378,-84.6445108
Rockdale,97 ,2 ,33.6558755,-84.1887723
Colquitt,87 ,5 ,31.148152,-83.8272431
Worth,87 ,4 ,31.5836698,-84.1213062
Clarke,84 ,11 ,33.9441951,-83.5292082
Paulding,84 ,2 ,33.9286041,-85.0268587
Newton,82 ,3 ,33.5556431,-84.0049802
Thomas,77 ,3 ,30.8343417,-84.0114562
Spalding,73 ,4 ,33.2655664,-84.4391162
Bibb,70 ,1 ,32.8066395,-83.8313174
Columbia,69 ,0 ,33.5275606,-82.3756279
Crisp,69 ,0 ,31.9169717,-83.9254823
Troup,60 ,3 ,33.0366656,-85.098747
Lowndes,59 ,2 ,30.8276641,-83.5322856
Tift,59 ,1 ,31.4620157,-83.6427911
Coffee,58 ,3 ,31.5118862,-82.8942771
Upson,56 ,1 ,32.8670541,-84.3459853
Barrow,55 ,3 ,34.0109181,-83.8433347
Ware,54 ,4 ,30.9258764,-82.652756
Baldwin,53 ,2 ,33.0581947,-83.3767553
Calhoun,45 ,2 ,31.5374798,-84.6143248
