county,cases,deaths,lat,lon
Fulton,1269 ,42 ,33.8109499,-84.7310481
Dougherty,1003 ,62 ,31.5429887,-84.3597205
Dekalb,735 ,12 ,33.7927093,-84.3270543
Cobb,601 ,29 ,33.9123906,-84.6972676
Gwinnett,589 ,18 ,33.9600231,-84.3181545
Clayton,296 ,11 ,34.2428643,-84.5984981
Hall,234 ,0 ,34.3058696,-84.1192568
Henry,217 ,3 ,33.4724802,-84.2785358
Lee,213 ,14 ,31.7689938,-84.2706385
Bartow,195 ,12 ,34.2440988,-84.985769
Carroll,185 ,4 ,33.5865758,-85.1703404
Sumter,181 ,5 ,32.0771487,-84.2578416
Cherokee,157 ,6 ,33.5005916,-84.4914783
Chatham,124 ,4 ,31.9710868,-81.351756
Douglas,124 ,5 ,33.689703,-84.8846812
Mitchell,116 ,11 ,31.2498763,-84.2432471
Forsyth,101 ,2 ,34.1927884,-84.2323435
Houston,99 ,7 ,32.4870656,-83.9498473
Floyd,97 ,3 ,34.2748096,-85.265634
Early,96 ,5 ,31.3765383,-84.9587256
Terrell,96 ,9 ,31.7941452,-84.5708394
Muscogee,94 ,2 ,32.4740307,-84.9775752
Randolph,86 ,3 ,31.7751648,-84.8872959
Rockdale,86 ,2 ,33.6558755,-84.1887723
Fayette,85 ,4 ,33.4036378,-84.6445108
Colquitt,82 ,5 ,31.148152,-83.8272431
Clarke,81 ,9 ,33.9441951,-83.5292082
Coweta,81 ,2 ,33.3513219,-84.8962861
Richmond,80 ,3 ,33.3859619,-82.2310033
Newton,67 ,3 ,33.5556431,-84.0049802
Paulding,67 ,1 ,33.9286041,-85.0268587
Worth,65 ,3 ,31.5836698,-84.1213062
Thomas,58 ,2 ,30.8343417,-84.0114562
Spalding,56 ,4 ,33.2655664,-84.4391162
Crisp,54 ,0 ,31.9169717,-83.9254823
Tift,52 ,1 ,31.4620157,-83.6427911
Bibb,51 ,1 ,32.8066395,-83.8313174
Columbia,50 ,0 ,33.5275606,-82.3756279
Lowndes,49 ,1 ,30.8276641,-83.5322856
Troup,49 ,3 ,33.0366656,-85.098747
Barrow,46 ,3 ,34.0109181,-83.8433347
Coffee,46 ,2 ,31.5118862,-82.8942771
Ware,43 ,3 ,30.9258764,-82.652756
Pierce,39 ,1 ,31.297628,-82.3323931
Upson,37 ,0 ,32.8670541,-84.3459853
Calhoun,35 ,2 ,31.5374798,-84.6143248
Oconee,33 ,1 ,33.8320577,-83.6015497
Glynn,32 ,0 ,31.2215288,-81.7627215
Baldwin,30 ,1 ,33.0581947,-83.3767553
Dooly,28 ,1 ,32.1523132,-83.8192581
Laurens,27 ,0 ,32.4502041,-82.9615426
Walton,27 ,2 ,33.7781427,-83.7941236
Gordon,26 ,3 ,34.509082,-85.0184651
Bryan,25 ,2 ,31.9384847,-81.3366541
Dawson,23 ,1 ,34.4758874,-84.2918991
Greene,23 ,1 ,33.564243,-83.213461
Jackson,23 ,1 ,34.1222725,-83.6498217
Butts,22 ,0 ,33.2876561,-84.008061
Decatur,22 ,0 ,30.9053732,-84.6063261
Polk,22 ,0 ,33.9998606,-85.3123828
Turner,22 ,0 ,31.7097169,-83.7672869
Whitfield,21 ,3 ,34.8017812,-85.1298821
Burke,19 ,0 ,33.0949232,-82.0493385
Camden,19 ,0 ,30.9572853,-81.7273897
Effingham,19 ,1 ,32.3453413,-81.6139433
Peach,19 ,2 ,32.5658912,-83.9996748
Meriwether,18 ,0 ,33.0359618,-84.7321711
Mcduffie,17 ,1 ,33.4695855,-82.531416
Washington,17 ,0 ,32.9842382,-82.8420655
Brooks,16 ,1 ,30.8201276,-83.6967418
Haralson,15 ,0 ,33.8053808,-85.1845181
Harris,15 ,0 ,32.7873585,-84.9045071
Lamar,15 ,0 ,33.0504451,-84.1869511
Stephens,15 ,0 ,34.574081,-83.4216966
Liberty,14 ,0 ,31.8747992,-81.64466
Bacon,13 ,0 ,31.5480169,-82.43403
Clay,13 ,1 ,31.5935371,-84.9543791
Johnson,13 ,0 ,32.692117,-82.6858691
Bulloch,12 ,0 ,32.436937,-81.839803
Monroe,12 ,1 ,33.0254067,-84.0551818
Morgan,12 ,0 ,33.5806701,-83.5120246
Murray,12 ,0 ,34.782174,-84.8306345
Seminole,12 ,0 ,31.0403778,-84.8968852
Irwin,11 ,0 ,31.6042318,-83.2849291
Macon,11 ,0 ,32.3019958,-84.0433236
White,11 ,0 ,34.6411092,-83.7623648
Miller,10 ,0 ,31.1636817,-84.869848
Pickens,10 ,2 ,34.4435055,-84.4995419
Pike,10 ,0 ,32.0655552,-82.2023614
Russell,10 ,0 ,,
Schley,10 ,1 ,32.2381915,-84.3265297
Baker,9 ,2 ,31.3455552,-84.4812548
Dodge,9 ,0 ,32.1889054,-83.2835786
Fannin,9 ,0 ,34.8670726,-84.3366946
Lumpkin,9 ,0 ,34.527836,-84.017919
Madison,9 ,1 ,34.1279503,-83.2381266
Pulaski,9 ,0 ,32.2484974,-83.4608698
Catoosa,8 ,0 ,34.9113369,-85.1771685
Grady,8 ,0 ,30.8768572,-84.2385266
Habersham,8 ,0 ,34.6086982,-83.5456091
Toombs,8 ,1 ,32.1715359,-82.3339669
Wilkinson,8 ,0 ,32.8107172,-83.1912456
Appling,7 ,0 ,31.7632088,-82.420582
Jenkins,7 ,1 ,32.8086673,-81.9616381
Jones,7 ,0 ,32.9986012,-83.5811601
Marion,7 ,0 ,32.3200167,-84.535096
Talbot,7 ,1 ,32.6773334,-84.5580366
Warren,7 ,0 ,33.4064726,-82.682467
Ben Hill,6 ,0 ,31.7220409,-83.3197009
Lincoln,6 ,0 ,33.8105078,-82.5722137
Rabun,6 ,0 ,34.8698023,-83.4554994
Telfair,6 ,0 ,31.9351788,-82.9480671
Brantley,5 ,1 ,31.2089482,-81.9996745
Emanuel,5 ,0 ,32.5730671,-82.404137
Jasper,5 ,0 ,33.3069437,-83.7069025
Lanier,5 ,0 ,31.0410238,-83.0922926
Putnam,5 ,0 ,33.3256731,-83.4237009
Taylor,5 ,2 ,32.5592902,-84.3821397
Union,5 ,0 ,34.8131442,-83.9486638
Wilkes,5 ,0 ,33.7637416,-82.8687134
Atkinson,4 ,0 ,31.2975054,-82.8710331
Banks,4 ,0 ,34.3359133,-83.5336091
Berrien,4 ,0 ,31.2075802,-83.2828336
Candler,4 ,0 ,32.3937981,-82.0966585
Chattooga,4 ,1 ,34.4742654,-85.3830821
Cook,4 ,0 ,31.1675224,-83.4587171
Gilmer,4 ,0 ,34.6879469,-84.5081626
Jefferson,4 ,0 ,32.997925,-82.433388
Quitman,4 ,0 ,31.8730242,-85.0437054
Screven,4 ,0 ,32.7510527,-81.656462
Stewart,4 ,0 ,32.0439972,-84.8137031
Walker,4 ,0 ,34.7120415,-85.3161595
Wayne,4 ,0 ,31.5594704,-81.9758095
Charlton,3 ,0 ,30.7152281,-82.4366806
Clinch,3 ,0 ,31.0413982,-82.770748
Crawford,3 ,0 ,32.7197317,-84.0190168
Elbert,3 ,0 ,34.103443,-82.9103666
Franklin,3 ,0 ,34.3757117,-83.2478296
Hart,3 ,0 ,34.3556591,-82.996122
Heard,3 ,1 ,33.2791778,-85.1161361
Mcintosh,3 ,0 ,31.5333111,-81.4445574
Tattnall,3 ,0 ,32.0655552,-82.2023614
Webster,3 ,0 ,32.1463907,-82.7966186
Chattahoochee,2 ,0 ,32.3778761,-84.9477857
Dade,2 ,1 ,34.8756058,-85.5463536
Echols,2 ,0 ,30.7421557,-82.9272262
Oglethorpe,2 ,1 ,33.8707055,-83.1174137
Towns,2 ,0 ,34.9181473,-83.7336489
Twiggs,2 ,0 ,32.6867147,-83.3595676
Wilcox,2 ,0 ,31.9484553,-83.4767476
Bleckley,1 ,0 ,32.4450373,-83.3216414
Edgefield,1 ,0 ,,
Hancock,1 ,0 ,33.2769957,-82.9894837
Jeff Davis,1 ,0 ,31.8121297,-82.6602823
Long,1 ,0 ,31.7764678,-82.0169041
Tallapoosa,1 ,0 ,,
Treutlen,1 ,0 ,32.3735458,-82.6063247
Wheeler,1 ,0 ,32.1463907,-82.7966186
Unknown,812 ,6 ,,
*Based on patient county of residence when known,,,,
