county,cases,deaths,lat,lon,pop
Gwinnett,6032 ,161 ,33.9600231,-84.3181545,842046
Fulton,5435 ,304 ,33.8082405,-84.4345438,1041423
Dekalb,4656 ,165 ,33.7927093,-84.3270543,707089
Cobb,3834 ,229 ,33.9123906,-84.6972676,707442
Hall,2919 ,58 ,34.3058696,-84.1192568,185416
Dougherty,1843 ,151 ,31.5429887,-84.3597205,94501
Clayton,1564 ,76 ,33.5212021,-84.4283069,26588
Muscogee,1146 ,34 ,32.4740307,-84.9775752,198413
Cherokee,1085 ,39 ,33.5005916,-84.4914783,221315
Troup,937 ,26 ,33.0366656,-85.098747,68468
Henry,929 ,31 ,33.4724802,-84.2785358,209053
Lowndes,856 ,4 ,30.8276641,-83.5322856,114552
Chatham,758 ,32 ,31.9710868,-81.351756,276434
Richmond,739 ,42 ,33.3859619,-82.2310033,202587
Whitfield,726 ,10 ,34.8017812,-85.1298821,103359
Colquitt,725 ,17 ,31.148152,-83.8272431,46137
Douglas,709 ,35 ,33.689703,-84.8846812,133971
Forsyth,639 ,14 ,34.1927884,-84.2323435,187929
Habersham,634 ,34 ,34.6086982,-83.5456091,43520
Carroll,621 ,39 ,33.5865758,-85.1703404,111580
Bibb,592 ,37 ,32.8066395,-83.8313174,156462
Bartow,585 ,39 ,34.2440988,-84.985769,100661
Coweta,544 ,14 ,33.3513219,-84.8962861,130929
Sumter,532 ,49 ,32.0771487,-84.2578416,31554
Tift,511 ,25 ,31.4620157,-83.6427911,41064
Houston,487 ,20 ,32.4870656,-83.9498473,146136
Newton,466 ,11 ,33.5556431,-84.0049802,101505
Paulding,458 ,14 ,33.9286041,-85.0268587,144800
Baldwin,441 ,33 ,33.0581947,-83.3767553,46367
Mitchell,433 ,38 ,31.2498763,-84.2432471,23144
Barrow,415 ,25 ,34.0109181,-83.8433347,70169
Coffee,403 ,15 ,31.5118862,-82.8942771,43170
Floyd,402 ,15 ,34.2748096,-85.265634,96177
Lee,377 ,22 ,31.7689938,-84.2706385,28746
Clarke,375 ,15 ,33.9441951,-83.5292082,120266
Thomas,371 ,33 ,30.8343417,-84.0114562,44724
Rockdale,361 ,9 ,33.6558755,-84.1887723,85820
Walton,343 ,25 ,33.7781427,-83.7941236,84575
Columbia,337 ,8 ,33.5275606,-82.3756279,131627
Spalding,337 ,31 ,33.2655664,-84.4391162,63865
Upson,318 ,43 ,32.8670541,-84.3459853,26630
Chattahoochee,312 ,1 ,32.3778761,-84.9477857,13037
Ware,309 ,15 ,30.9258764,-82.652756,35821
Jackson,296 ,7 ,34.1222725,-83.6498217,60571
Gordon,285 ,18 ,34.509082,-85.0184651,55766
Worth,282 ,21 ,31.5836698,-84.1213062,21741
Walker,281 ,5 ,34.7120415,-85.3161595,68094
Fayette,278 ,16 ,33.4036378,-84.6445108,107524
Catoosa,275 ,6 ,34.9113369,-85.1771685,65046
Glynn,263 ,3 ,31.2215288,-81.7627215,81022
Crisp,256 ,11 ,31.9169717,-83.9254823,23606
Early,256 ,31 ,31.3765383,-84.9587256,10594
Butts,246 ,32 ,33.2876561,-84.008061,23524
Decatur,243 ,8 ,30.9053732,-84.6063261,27509
Harris,239 ,8 ,32.7873585,-84.9045071,32550
Terrell,217 ,27 ,31.7941452,-84.5708394,9045
Appling,216 ,13 ,31.7632088,-82.420582,18368
Hancock,203 ,32 ,33.2769957,-82.9894837,8996
Bacon,194 ,4 ,31.5480169,-82.43403,11198
Dooly,194 ,12 ,32.1523132,-83.8192581,14318
Randolph,194 ,23 ,31.7751648,-84.8872959,7327
Polk,178 ,1 ,33.9998606,-85.3123828,41188
Gilmer,177 ,2 ,34.6879469,-84.5081626,28190
Echols,171 ,0 ,30.7421557,-82.9272262,3988
Turner,166 ,16 ,31.7097169,-83.7672869,8410
Stephens,165 ,5 ,34.574081,-83.4216966,25891
Grady,162 ,4 ,30.8768572,-84.2385266,25440
Murray,162 ,1 ,34.782174,-84.8306345,39392
Calhoun,157 ,6 ,31.5374798,-84.6143248,6504
Franklin,154 ,1 ,34.3757117,-83.2478296,21894
Bulloch,145 ,3 ,32.436937,-81.839803,72694
Meriwether,145 ,2 ,33.0359618,-84.7321711,21273
Toombs,142 ,5 ,32.1715359,-82.3339669,27315
Monroe,135 ,15 ,33.0254067,-84.0551818,26637
Pierce,135 ,4 ,31.297628,-82.3323931,18844
Burke,132 ,6 ,33.0949232,-82.0493385,23125
Oconee,132 ,10 ,33.8320577,-83.6015497,33619
Laurens,130 ,1 ,32.4502041,-82.9615426,48041
White,129 ,4 ,34.6411092,-83.7623648,27556
Dawson,124 ,3 ,34.4758874,-84.2918991,22422
Wilcox,120 ,15 ,31.9484553,-83.4767476,9068
Ben Hill,119 ,1 ,31.7220409,-83.3197009,17538
Lumpkin,118 ,2 ,34.527836,-84.017919,30611
Putnam,115 ,11 ,33.3256731,-83.4237009,21198
Banks,114 ,0 ,34.3359133,-83.5336091,18316
Lanier,112 ,2 ,31.0410238,-83.0922926,10400
Macon,112 ,9 ,32.3019958,-84.0433236,14623
Brooks,111 ,11 ,30.8201276,-83.6967418,15403
Liberty,100 ,1 ,31.8747992,-81.64466,65471
Effingham,95 ,1 ,32.3453413,-81.6139433,53293
