county,cases,deaths,lat,lon
Fulton,882 ,23 ,33.8109499,-84.7310481
Dougherty,560 ,30 ,31.5429887,-84.3597205
Dekalb,448 ,8 ,33.7927093,-84.3270543
Cobb,381 ,18 ,33.9123906,-84.6972676
Gwinnett,329 ,8 ,33.9600231,-84.3181545
Clayton,195 ,6 ,34.2428643,-84.5984981
Bartow,154 ,3 ,34.2440988,-84.985769
Carroll,143 ,2 ,33.5865758,-85.1703404
Henry,125 ,3 ,33.4724802,-84.2785358
Lee,115 ,8 ,31.7689938,-84.2706385
Cherokee,104 ,5 ,33.5005916,-84.4914783
Hall,79 ,0 ,34.3058696,-84.1192568
Floyd,77 ,2 ,34.2748096,-85.265634
Douglas,71 ,4 ,33.689703,-84.8846812
Rockdale,63 ,2 ,33.6558755,-84.1887723
Forsyth,60 ,1 ,34.1927884,-84.2323435
Sumter,59 ,3 ,32.0771487,-84.2578416
Chatham,58 ,3 ,31.9710868,-81.351756
Fayette,58 ,4 ,33.4036378,-84.6445108
Clarke,57 ,8 ,33.9441951,-83.5292082
Coweta,53 ,2 ,33.3513219,-84.8962861
Houston,53 ,5 ,32.4870656,-83.9498473
Richmond,50 ,1 ,33.3859619,-82.2310033
Terrell,50 ,2 ,31.7941452,-84.5708394
Early,48 ,1 ,31.3765383,-84.9587256
Mitchell,43 ,1 ,31.2498763,-84.2432471
Paulding,42 ,0 ,33.9286041,-85.0268587
Newton,40 ,1 ,33.5556431,-84.0049802
Colquitt,34 ,2 ,31.148152,-83.8272431
Bibb,32 ,1 ,32.8066395,-83.8313174
Columbia,32 ,0 ,33.5275606,-82.3756279
Muscogee,30 ,0 ,32.4740307,-84.9775752
Tift,30 ,0 ,31.4620157,-83.6427911
Worth,30 ,1 ,31.5836698,-84.1213062
Lowndes,28 ,1 ,30.8276641,-83.5322856
Troup,26 ,1 ,33.0366656,-85.098747
Crisp,23 ,0 ,31.9169717,-83.9254823
Glynn,23 ,0 ,31.2215288,-81.7627215
Spalding,23 ,1 ,33.2655664,-84.4391162
Barrow,21 ,2 ,34.0109181,-83.8433347
Gordon,21 ,2 ,34.509082,-85.0184651
Oconee,19 ,0 ,33.8320577,-83.6015497
Thomas,17 ,0 ,30.8343417,-84.0114562
Polk,16 ,0 ,33.9998606,-85.3123828
Walton,16 ,0 ,33.7781427,-83.7941236
Ware,16 ,2 ,30.9258764,-82.652756
Coffee,15 ,0 ,31.5118862,-82.8942771
Laurens,15 ,0 ,32.4502041,-82.9615426
Whitfield,15 ,1 ,34.8017812,-85.1298821
Pierce,14 ,0 ,31.297628,-82.3323931
Dawson,13 ,0 ,34.4758874,-84.2918991
Bryan,12 ,1 ,31.9384847,-81.3366541
