county,cases,deaths,lat,lon,pop
Fulton,4684 ,244 ,33.8082405,-84.4345438,1041423
Gwinnett,4049 ,135 ,33.9600231,-84.3181545,842046
Dekalb,3862 ,121 ,33.7927093,-84.3270543,707089
Cobb,3093 ,186 ,33.9123906,-84.6972676,707442
Hall,2535 ,50 ,34.3058696,-84.1192568,185416
Dougherty,1789 ,149 ,31.5429887,-84.3597205,94501
Clayton,1260 ,51 ,33.5212021,-84.4283069,26588
Cherokee,922 ,33 ,33.5005916,-84.4914783,221315
Henry,709 ,23 ,33.4724802,-84.2785358,209053
Muscogee,673 ,18 ,32.4740307,-84.9775752,198413
Richmond,606 ,25 ,33.3859619,-82.2310033,202587
Douglas,554 ,25 ,33.689703,-84.8846812,133971
Habersham,537 ,23 ,34.6086982,-83.5456091,43520
Carroll,535 ,25 ,33.5865758,-85.1703404,111580
Forsyth,535 ,12 ,34.1927884,-84.2323435,187929
Chatham,522 ,26 ,31.9710868,-81.351756,276434
Bartow,495 ,39 ,34.2440988,-84.985769,100661
Sumter,490 ,44 ,32.0771487,-84.2578416,31554
Colquitt,486 ,15 ,31.148152,-83.8272431,46137
Bibb,480 ,29 ,32.8066395,-83.8313174,156462
Coweta,432 ,9 ,33.3513219,-84.8962861,130929
Mitchell,414 ,32 ,31.2498763,-84.2432471,23144
Whitfield,408 ,7 ,34.8017812,-85.1298821,103359
Houston,378 ,18 ,32.4870656,-83.9498473,146136
Newton,377 ,11 ,33.5556431,-84.0049802,101505
Lee,361 ,22 ,31.7689938,-84.2706385,28746
Baldwin,350 ,27 ,33.0581947,-83.3767553,46367
Thomas,346 ,32 ,30.8343417,-84.0114562,44724
Troup,345 ,11 ,33.0366656,-85.098747,68468
Barrow,333 ,18 ,34.0109181,-83.8433347,70169
Paulding,333 ,11 ,33.9286041,-85.0268587,144800
Lowndes,326 ,4 ,30.8276641,-83.5322856,114552
Rockdale,297 ,8 ,33.6558755,-84.1887723,85820
Clarke,296 ,14 ,33.9441951,-83.5292082,120266
Upson,290 ,34 ,32.8670541,-84.3459853,26630
Coffee,285 ,15 ,31.5118862,-82.8942771,43170
Floyd,280 ,15 ,34.2748096,-85.265634,96177
Spalding,280 ,22 ,33.2655664,-84.4391162,63865
Walton,273 ,15 ,33.7781427,-83.7941236,84575
Tift,271 ,18 ,31.4620157,-83.6427911,41064
Columbia,266 ,8 ,33.5275606,-82.3756279,131627
Early,247 ,32 ,31.3765383,-84.9587256,10594
Fayette,239 ,13 ,33.4036378,-84.6445108,107524
Butts,237 ,24 ,33.2876561,-84.008061,23524
Crisp,237 ,7 ,31.9169717,-83.9254823,23606
Ware,234 ,14 ,30.9258764,-82.652756,35821
Worth,225 ,21 ,31.5836698,-84.1213062,21741
Terrell,215 ,26 ,31.7941452,-84.5708394,9045
Decatur,206 ,5 ,30.9053732,-84.6063261,27509
Jackson,199 ,6 ,34.1222725,-83.6498217,60571
Hancock,197 ,25 ,33.2769957,-82.9894837,8996
Dooly,185 ,12 ,32.1523132,-83.8192581,14318
Randolph,179 ,19 ,31.7751648,-84.8872959,7327
Walker,171 ,0 ,34.7120415,-85.3161595,68094
Appling,170 ,13 ,31.7632088,-82.420582,18368
Gordon,170 ,16 ,34.509082,-85.0184651,55766
Chattahoochee,160 ,0 ,32.3778761,-84.9477857,13037
Gilmer,157 ,1 ,34.6879469,-84.5081626,28190
Stephens,147 ,3 ,34.574081,-83.4216966,25891
Catoosa,145 ,0 ,34.9113369,-85.1771685,65046
Bacon,136 ,3 ,31.5480169,-82.43403,11198
Calhoun,135 ,7 ,31.5374798,-84.6143248,6504
Glynn,135 ,2 ,31.2215288,-81.7627215,81022
Turner,134 ,13 ,31.7097169,-83.7672869,8410
Polk,130 ,1 ,33.9998606,-85.3123828,41188
Echols,125 ,0 ,30.7421557,-82.9272262,3988
Monroe,124 ,11 ,33.0254067,-84.0551818,26637
Burke,123 ,6 ,33.0949232,-82.0493385,23125
Oconee,119 ,9 ,33.8320577,-83.6015497,33619
Grady,117 ,4 ,30.8768572,-84.2385266,25440
Wilcox,117 ,13 ,31.9484553,-83.4767476,9068
Dawson,110 ,1 ,34.4758874,-84.2918991,22422
Laurens,108 ,1 ,32.4502041,-82.9615426,48041
Harris,106 ,6 ,32.7873585,-84.9045071,32550
Franklin,105 ,1 ,34.3757117,-83.2478296,21894
Pierce,105 ,3 ,31.297628,-82.3323931,18844
White,105 ,3 ,34.6411092,-83.7623648,27556
Macon,103 ,6 ,32.3019958,-84.0433236,14623
Lumpkin,101 ,1 ,34.527836,-84.017919,30611
Murray,99 ,1 ,34.782174,-84.8306345,39392
Meriwether,95 ,2 ,33.0359618,-84.7321711,21273
Putnam,94 ,9 ,33.3256731,-83.4237009,21198
Banks,88 ,1 ,34.3359133,-83.5336091,18316
Liberty,83 ,1 ,31.8747992,-81.64466,65471
Johnson,82 ,2 ,32.692117,-82.6858691,9897
Ben Hill,80 ,1 ,31.7220409,-83.3197009,17538
Bryan,77 ,5 ,31.9384847,-81.3366541,32214
Bulloch,77 ,2 ,32.436937,-81.839803,72694
Peach,76 ,4 ,32.5658912,-83.9996748,27622
Effingham,75 ,1 ,32.3453413,-81.6139433,53293
Elbert,75 ,0 ,34.103443,-82.9103666,19684
Washington,74 ,1 ,32.9842382,-82.8420655,20879
Lamar,73 ,2 ,33.0504451,-84.1869511,18057
Brooks,72 ,8 ,30.8201276,-83.6967418,15403
Greene,71 ,7 ,33.564243,-83.213461,16092
Mcduffie,69 ,5 ,33.4695855,-82.531416,21663
Wilkinson,69 ,7 ,32.8107172,-83.1912456,9577
Camden,66 ,1 ,30.9572853,-81.7273897,51402
Oglethorpe,63 ,7 ,33.8707055,-83.1174137,14618
Brantley,59 ,2 ,31.2089482,-81.9996745,18587
Clinch,59 ,2 ,31.0413982,-82.770748,6718
Madison,59 ,1 ,34.1279503,-83.2381266,27922
Marion,59 ,2 ,32.3200167,-84.535096,8711
Toombs,58 ,4 ,32.1715359,-82.3339669,27315
Pike,56 ,3 ,32.0655552,-82.2023614,17810
Screven,55 ,3 ,32.7510527,-81.656462,14202
Atkinson,53 ,2 ,31.2975054,-82.8710331,8284
Stewart,53 ,1 ,32.0439972,-84.8137031,6042
Dodge,52 ,2 ,32.1889054,-83.2835786,21329
Pickens,50 ,3 ,34.4435055,-84.4995419,29268
Fannin,49 ,1 ,34.8670726,-84.3366946,23492
Haralson,49 ,3 ,33.8053808,-85.1845181,28400
Berrien,48 ,0 ,31.2075802,-83.2828336,19041
Bleckley,48 ,0 ,32.4450373,-83.3216414,12913
Union,48 ,1 ,34.8131442,-83.9486638,21451
Jefferson,46 ,1 ,32.997925,-82.433388,16432
Cook,45 ,2 ,31.1675224,-83.4587171,16923
Seminole,45 ,2 ,31.0403778,-84.8968852,8947
Pulaski,43 ,2 ,32.2484974,-83.4608698,11720
Miller,42 ,0 ,31.1636817,-84.869848,5969
Clay,41 ,2 ,31.5935371,-84.9543791,3116
Jasper,40 ,1 ,33.3069437,-83.7069025,13630
Jones,40 ,0 ,32.9986012,-83.5811601,28577
Talbot,40 ,2 ,32.6773334,-84.5580366,6517
Dade,39 ,1 ,34.8756058,-85.5463536,16490
Jeff Davis,38 ,1 ,31.8121297,-82.6602823,15156
Morgan,38 ,0 ,33.5806701,-83.5120246,17881
Telfair,37 ,1 ,31.9351788,-82.9480671,16349
Heard,35 ,2 ,33.2791778,-85.1161361,11633
Baker,34 ,2 ,31.3455552,-84.4812548,3366
Wilkes,34 ,1 ,33.7637416,-82.8687134,10076
Charlton,33 ,1 ,30.7152281,-82.4366806,13295
Hart,33 ,0 ,34.3556591,-82.996122,25518
Irwin,31 ,1 ,31.6042318,-83.2849291,9600
Tattnall,29 ,0 ,32.0655552,-82.2023614,25384
Crawford,28 ,0 ,32.7197317,-84.0190168,12600
Emanuel,28 ,2 ,32.5730671,-82.404137,22898
Towns,26 ,1 ,34.9181473,-83.7336489,10495
Chattooga,25 ,2 ,34.4742654,-85.3830821,25725
Lanier,24 ,2 ,31.0410238,-83.0922926,10400
Rabun,24 ,1 ,34.8698023,-83.4554994,16297
Taylor,23 ,2 ,32.5592902,-84.3821397,8420
Wayne,22 ,0 ,31.5594704,-81.9758095,30305
Jenkins,21 ,1 ,32.8086673,-81.9616381,9213
Twiggs,18 ,1 ,32.6867147,-83.3595676,8447
Warren,18 ,0 ,33.4064726,-82.682467,5578
Lincoln,16 ,1 ,33.8105078,-82.5722137,7737
Long,16 ,1 ,31.7764678,-82.0169041,16048
Mcintosh,16 ,1 ,31.5333111,-81.4445574,13839
Schley,16 ,1 ,32.2381915,-84.3265297,4990
Candler,14 ,0 ,32.3937981,-82.0966585,11117
Quitman,14 ,1 ,31.8730242,-85.0437054,2404
Montgomery,13 ,0 ,6121,-82.6120317,8913
Treutlen,13 ,0 ,32.3735458,-82.6063247,6769
Webster,13 ,1 ,32.1463907,-82.7966186,2793
Wheeler,13 ,0 ,32.1463907,-82.7966186,7888
Evans,5 ,0 ,32.1617191,-81.9174632,10689
Glascock,1 ,0 ,33.2339586,-82.6065612,3142
Taliaferro,1 ,0 ,33.5545303,-82.9140466,1680
Unknown,1354 ,0 ,,,
Non-Georgia Resident,2187 ,31 ,,,
*Based on patient county of residence when known,,,,,
