county,cases,deaths,lat,lon,pop
Gwinnett,9484 ,173 ,33.9600231,-84.3181545,842046
Fulton,8435 ,314 ,33.8082405,-84.4345438,1041423
Dekalb,6692 ,173 ,33.7927093,-84.3270543,707089
Cobb,5679 ,245 ,33.9123906,-84.6972676,707442
Hall,3395 ,60 ,34.3058696,-84.1192568,185416
Clayton,2280 ,79 ,33.5212021,-84.4283069,259424
Muscogee,2057 ,52 ,32.4740307,-84.9775752,198413
Dougherty,1969 ,155 ,31.5429887,-84.3597205,94501
Chatham,1790 ,37 ,31.9710868,-81.351756,276434
Troup,1582 ,35 ,33.0366656,-85.098747,68468
Cherokee,1434 ,44 ,33.5005916,-84.4914783,221315
Henry,1415 ,33 ,33.4724802,-84.2785358,209053
Lowndes,1328 ,12 ,30.8276641,-83.5322856,114552
Whitfield,1275 ,13 ,34.8017812,-85.1298821,103359
Richmond,1214 ,54 ,33.3859619,-82.2310033,202587
Bibb,1120 ,41 ,32.8066395,-83.8313174,156462
Glynn,1119 ,6 ,31.2215288,-81.7627215,81022
Colquitt,1085 ,18 ,31.148152,-83.8272431,46137
Douglas,1079 ,36 ,33.689703,-84.8846812,133971
Forsyth,934 ,15 ,34.1927884,-84.2323435,187929
Tift,815 ,26 ,31.4620157,-83.6427911,41064
Carroll,814 ,40 ,33.5865758,-85.1703404,111580
Bartow,766 ,42 ,34.2440988,-84.985769,100661
Coweta,766 ,16 ,33.3513219,-84.8962861,130929
Houston,734 ,24 ,32.4870656,-83.9498473,146136
Habersham,714 ,36 ,34.6086982,-83.5456091,43520
Newton,700 ,12 ,33.5556431,-84.0049802,101505
Clarke,690 ,15 ,33.9441951,-83.5292082,120266
Paulding,671 ,16 ,33.9286041,-85.0268587,144800
Coffee,613 ,17 ,31.5118862,-82.8942771,43170
Columbia,602 ,9 ,33.5275606,-82.3756279,131627
Floyd,586 ,15 ,34.2748096,-85.265634,96177
Sumter,571 ,50 ,32.0771487,-84.2578416,31554
Baldwin,564 ,34 ,33.0581947,-83.3767553,46367
Rockdale,542 ,11 ,33.6558755,-84.1887723,85820
Barrow,535 ,25 ,34.0109181,-83.8433347,70169
Ware,508 ,16 ,30.9258764,-82.652756,35821
Thomas,493 ,32 ,30.8343417,-84.0114562,44724
Bulloch,483 ,4 ,32.436937,-81.839803,72694
Spalding,459 ,32 ,33.2655664,-84.4391162,63865
Walton,459 ,28 ,33.7781427,-83.7941236,84575
Mitchell,455 ,38 ,31.2498763,-84.2432471,23144
Gordon,436 ,18 ,34.509082,-85.0184651,55766
Chattahoochee,428 ,0 ,32.3778761,-84.9477857,13037
Jackson,426 ,10 ,34.1222725,-83.6498217,60571
Fayette,408 ,19 ,33.4036378,-84.6445108,107524
Lee,398 ,22 ,31.7689938,-84.2706385,28746
Upson,377 ,43 ,32.8670541,-84.3459853,26630
Harris,369 ,10 ,32.7873585,-84.9045071,32550
Walker,343 ,12 ,34.7120415,-85.3161595,68094
Worth,324 ,22 ,31.5836698,-84.1213062,21741
Catoosa,323 ,8 ,34.9113369,-85.1771685,65046
Butts,291 ,33 ,33.2876561,-84.008061,23524
Crisp,287 ,12 ,31.9169717,-83.9254823,23606
Appling,285 ,14 ,31.7632088,-82.420582,18368
Bacon,280 ,4 ,31.5480169,-82.43403,11198
