county,cases,deaths,lat,lon,pop
Gwinnett,7460 ,168 ,33.9600231,-84.3181545,842046
Fulton,6320 ,311 ,33.8082405,-84.4345438,1041423
Dekalb,5305 ,171 ,33.7927093,-84.3270543,707089
Cobb,4432 ,239 ,33.9123906,-84.6972676,707442
Hall,3074 ,59 ,34.3058696,-84.1192568,185416
Dougherty,1873 ,154 ,31.5429887,-84.3597205,94501
Clayton,1824 ,79 ,33.5212021,-84.4283069,26588
Muscogee,1454 ,42 ,32.4740307,-84.9775752,198413
Troup,1277 ,31 ,33.0366656,-85.098747,68468
Cherokee,1188 ,44 ,33.5005916,-84.4914783,221315
Henry,1093 ,33 ,33.4724802,-84.2785358,209053
Lowndes,1087 ,10 ,30.8276641,-83.5322856,114552
Chatham,1042 ,37 ,31.9710868,-81.351756,276434
Whitfield,915 ,10 ,34.8017812,-85.1298821,103359
Douglas,841 ,36 ,33.689703,-84.8846812,133971
Colquitt,831 ,18 ,31.148152,-83.8272431,46137
Richmond,813 ,48 ,33.3859619,-82.2310033,202587
Forsyth,756 ,15 ,34.1927884,-84.2323435,187929
Bibb,701 ,38 ,32.8066395,-83.8313174,156462
Tift,674 ,25 ,31.4620157,-83.6427911,41064
Carroll,658 ,39 ,33.5865758,-85.1703404,111580
Habersham,656 ,35 ,34.6086982,-83.5456091,43520
Bartow,645 ,41 ,34.2440988,-84.985769,100661
Coweta,614 ,15 ,33.3513219,-84.8962861,130929
Houston,561 ,23 ,32.4870656,-83.9498473,146136
Sumter,548 ,50 ,32.0771487,-84.2578416,31554
Newton,541 ,11 ,33.5556431,-84.0049802,101505
Paulding,535 ,15 ,33.9286041,-85.0268587,144800
Glynn,505 ,3 ,31.2215288,-81.7627215,81022
Floyd,487 ,15 ,34.2748096,-85.265634,96177
Coffee,484 ,17 ,31.5118862,-82.8942771,43170
Baldwin,470 ,33 ,33.0581947,-83.3767553,46367
Clarke,461 ,15 ,33.9441951,-83.5292082,120266
Barrow,459 ,25 ,34.0109181,-83.8433347,70169
Mitchell,443 ,38 ,31.2498763,-84.2432471,23144
Rockdale,418 ,11 ,33.6558755,-84.1887723,85820
Thomas,408 ,33 ,30.8343417,-84.0114562,44724
Chattahoochee,393 ,0 ,32.3778761,-84.9477857,13037
