county,cases,deaths,lat,lon,pop
Fannin,40 ,1 ,34.8670726,-84.3366946,23492
Haralson,40 ,2 ,33.8053808,-85.1845181,28400
Miller,40 ,0 ,31.1636817,-84.869848,5969
Franklin,39 ,1 ,34.3757117,-83.2478296,21894
Pulaski,39 ,2 ,32.2484974,-83.4608698,11720
Atkinson,38 ,2 ,31.2975054,-82.8710331,8284
Berrien,38 ,0 ,31.2075802,-83.2828336,19041
Clay,37 ,2 ,31.5935371,-84.9543791,3116
Morgan,37 ,0 ,33.5806701,-83.5120246,17881
Talbot,37 ,1 ,32.6773334,-84.5580366,6517
Baker,35 ,2 ,31.3455552,-84.4812548,3366
Jeff Davis,35 ,1 ,31.8121297,-82.6602823,15156
Jones,34 ,0 ,32.9986012,-83.5811601,28577
Screven,34 ,2 ,32.7510527,-81.656462,14202
Telfair,34 ,1 ,31.9351788,-82.9480671,16349
Charlton,33 ,1 ,30.7152281,-82.4366806,13295
Wilkes,33 ,1 ,33.7637416,-82.8687134,10076
Jasper,32 ,1 ,33.3069437,-83.7069025,13630
Jefferson,32 ,1 ,32.997925,-82.433388,16432
Chattahoochee,30 ,0 ,32.3778761,-84.9477857,13037
Heard,30 ,2 ,33.2791778,-85.1161361,11633
Crawford,28 ,0 ,32.7197317,-84.0190168,12600
Dade,27 ,1 ,34.8756058,-85.5463536,16490
Emanuel,26 ,2 ,32.5730671,-82.404137,22898
Hart,26 ,0 ,34.3556591,-82.996122,25518
Chattooga,24 ,2 ,34.4742654,-85.3830821,25725
Irwin,24 ,1 ,31.6042318,-83.2849291,9600
Towns,23 ,1 ,34.9181473,-83.7336489,10495
Taylor,22 ,2 ,32.5592902,-84.3821397,8420
Jenkins,19 ,1 ,32.8086673,-81.9616381,9213
Tattnall,19 ,0 ,32.0655552,-82.2023614,25384
Warren,18 ,0 ,33.4064726,-82.682467,5578
Wayne,18 ,0 ,31.5594704,-81.9758095,30305
Lanier,17 ,2 ,31.0410238,-83.0922926,10400
Schley,17 ,1 ,32.2381915,-84.3265297,4990
Lincoln,16 ,0 ,33.8105078,-82.5722137,7737
Rabun,16 ,1 ,34.8698023,-83.4554994,16297
Twiggs,16 ,0 ,32.6867147,-83.3595676,8447
Long,15 ,1 ,31.7764678,-82.0169041,16048
Candler,13 ,0 ,32.3937981,-82.0966585,11117
Mcintosh,12 ,0 ,31.5333111,-81.4445574,13839
Quitman,12 ,1 ,31.8730242,-85.0437054,2404
Webster,11 ,1 ,32.1463907,-82.7966186,2793
Montgomery,9 ,0 ,6121,-82.6120317,8913
Wheeler,9 ,0 ,32.1463907,-82.7966186,7888
Treutlen,8 ,0 ,32.3735458,-82.6063247,6769
Evans,5 ,0 ,32.1617191,-81.9174632,10689
Glascock,1 ,0 ,33.2339586,-82.6065612,3142
Taliaferro,1 ,0 ,33.5545303,-82.9140466,1680
Unknown,1561 ,0 ,,,
Non-Georgia Resident,1924 ,28 ,,,
*Based on patient county of residence when known,,,,,
