county,cases,deaths,lat,lon,pop
Gwinnett,10259 ,175 ,33.9600231,-84.3181545,842046
Fulton,9382 ,318 ,33.8082405,-84.4345438,1041423
Dekalb,7365 ,175 ,33.7927093,-84.3270543,707089
Cobb,6264 ,247 ,33.9123906,-84.6972676,707442
Hall,3590 ,63 ,34.3058696,-84.1192568,185416
Clayton,2519 ,81 ,33.5212021,-84.4283069,259424
Muscogee,2346 ,55 ,32.4740307,-84.9775752,198413
Chatham,2083 ,38 ,31.9710868,-81.351756,276434
Dougherty,2035 ,155 ,31.5429887,-84.3597205,94501
Lowndes,1699 ,14 ,30.8276641,-83.5322856,114552
Troup,1678 ,37 ,33.0366656,-85.098747,68468
Cherokee,1596 ,46 ,33.5005916,-84.4914783,221315
Henry,1569 ,33 ,33.4724802,-84.2785358,209053
Whitfield,1525 ,15 ,34.8017812,-85.1298821,103359
Bibb,1497 ,41 ,32.8066395,-83.8313174,156462
Richmond,1388 ,59 ,33.3859619,-82.2310033,202587
Glynn,1324 ,9 ,31.2215288,-81.7627215,81022
Douglas,1235 ,37 ,33.689703,-84.8846812,133971
Colquitt,1181 ,19 ,31.148152,-83.8272431,46137
Forsyth,1045 ,15 ,34.1927884,-84.2323435,187929
Carroll,917 ,40 ,33.5865758,-85.1703404,111580
Tift,906 ,26 ,31.4620157,-83.6427911,41064
Houston,860 ,29 ,32.4870656,-83.9498473,146136
Bartow,843 ,42 ,34.2440988,-84.985769,100661
Clarke,820 ,15 ,33.9441951,-83.5292082,120266
Coweta,808 ,16 ,33.3513219,-84.8962861,130929
Newton,782 ,12 ,33.5556431,-84.0049802,101505
Paulding,771 ,16 ,33.9286041,-85.0268587,144800
Habersham,739 ,39 ,34.6086982,-83.5456091,43520
Columbia,696 ,12 ,33.5275606,-82.3756279,131627
Coffee,680 ,17 ,31.5118862,-82.8942771,43170
Floyd,658 ,15 ,34.2748096,-85.265634,96177
Baldwin,616 ,34 ,33.0581947,-83.3767553,46367
Rockdale,606 ,11 ,33.6558755,-84.1887723,85820
Sumter,591 ,50 ,32.0771487,-84.2578416,31554
Barrow,574 ,25 ,34.0109181,-83.8433347,70169
Ware,555 ,16 ,30.9258764,-82.652756,35821
Bulloch,546 ,4 ,32.436937,-81.839803,72694
Thomas,536 ,32 ,30.8343417,-84.0114562,44724
Spalding,518 ,33 ,33.2655664,-84.4391162,63865
